hand,river_win_rate,connectedness,suited,pair,hand_idx
22o,0.4918833333333333,0,0,1,0
32o,0.29368333333333335,1,0,0,1
32s,0.330875,1,1,0,2
33o,0.5286333333333334,0,0,1,3
42o,0.302725,2,0,0,4
42s,0.33899999999999997,2,1,0,5
43o,0.3186833333333333,1,0,0,6
43s,0.357175,1,1,0,7
44o,0.5602999999999999,0,0,1,8
52o,0.31148333333333333,3,0,0,9
52s,0.35057499999999997,3,1,0,10
53o,0.33391666666666664,2,0,0,11
53s,0.366075,2,1,0,12
54o,0.35096666666666665,1,0,0,13
54s,0.38295,1,1,0,14
55o,0.5961833333333334,0,0,1,15
62o,0.3108083333333333,4,0,0,16
62s,0.3501,4,1,0,17
63o,0.33097499999999996,3,0,0,18
63s,0.36725,3,1,0,19
64o,0.3494333333333333,2,0,0,20
64s,0.38485,2,1,0,21
65o,0.3719666666666667,1,0,0,22
65s,0.401125,1,1,0,23
66o,0.62585,0,0,1,24
72o,0.31711666666666666,5,0,0,25
72s,0.35245,5,1,0,26
73o,0.33631666666666665,4,0,0,27
73s,0.372275,4,1,0,28
74o,0.35673333333333335,3,0,0,29
74s,0.38925,3,1,0,30
75o,0.3750166666666666,2,0,0,31
75s,0.413175,2,1,0,32
76o,0.39576666666666666,1,0,0,33
76s,0.425625,1,1,0,34
77o,0.6604,0,0,1,35
82o,0.33971666666666667,6,0,0,36
82s,0.380175,6,1,0,37
83o,0.34531666666666666,5,0,0,38
83s,0.3812,5,1,0,39
84o,0.3673583333333333,4,0,0,40
84s,0.399225,4,1,0,41
85o,0.3859916666666667,3,0,0,42
85s,0.42045,3,1,0,43
86o,0.4074583333333333,2,0,0,44
86s,0.442125,2,1,0,45
87o,0.4265833333333333,1,0,0,46
87s,0.455175,1,1,0,47
88o,0.68655,0,0,1,48
92o,0.3647,7,0,0,49
92s,0.397775,7,1,0,50
93o,0.3754416666666667,6,0,0,51
93s,0.405175,6,1,0,52
94o,0.3797916666666667,5,0,0,53
94s,0.410375,5,1,0,54
95o,0.4048,4,0,0,55
95s,0.433875,4,1,0,56
96o,0.419675,3,0,0,57
96s,0.456725,3,1,0,58
97o,0.4410416666666667,2,0,0,59
97s,0.467025,2,1,0,60
98o,0.4593583333333333,1,0,0,61
98s,0.488525,1,1,0,62
99o,0.7174166666666667,0,0,1,63
A2o,0.5293,1,0,0,64
A2s,0.556375,1,1,0,65
A3o,0.5382083333333333,2,0,0,66
A3s,0.5637,2,1,0,67
A4o,0.5474,3,0,0,68
A4s,0.56705,3,1,0,69
A5o,0.5578833333333333,4,0,0,70
A5s,0.58095,4,1,0,71
A6o,0.5574,5,0,0,72
A6s,0.58425,5,1,0,73
A7o,0.5705916666666667,6,0,0,74
A7s,0.591075,6,1,0,75
A8o,0.5842416666666667,6,0,0,76
A8s,0.6052,6,1,0,77
A9o,0.598,5,0,0,78
A9s,0.616475,5,1,0,79
AAo,0.8509166666666667,0,0,1,80
AJo,0.6250666666666667,3,0,0,81
AJs,0.6437,3,1,0,82
AKo,0.644125,1,0,0,83
AKs,0.66415,1,1,0,84
AQo,0.634325,2,0,0,85
AQs,0.6519,2,1,0,86
ATo,0.6140666666666666,4,0,0,87
ATs,0.63385,4,1,0,88
J2o,0.4212,9,0,0,89
J2s,0.450725,9,1,0,90
J3o,0.42943333333333333,8,0,0,91
J3s,0.460625,8,1,0,92
J4o,0.4386083333333333,7,0,0,93
J4s,0.46645000000000003,7,1,0,94
J5o,0.4479416666666667,6,0,0,95
J5s,0.4788,6,1,0,96
J6o,0.4579166666666667,5,0,0,97
J6s,0.48424999999999996,5,1,0,98
J7o,0.47831666666666667,4,0,0,99
J7s,0.501925,4,1,0,100
J8o,0.499875,3,0,0,101
J8s,0.5254,3,1,0,102
J9o,0.5164916666666667,2,0,0,103
J9s,0.539775,2,1,0,104
JJo,0.77135,0,0,1,105
JTo,0.5395083333333334,1,0,0,106
JTs,0.56195,1,1,0,107
K2o,0.48395000000000005,11,0,0,108
K2s,0.51285,11,1,0,109
K3o,0.49524999999999997,10,0,0,110
K3s,0.5207999999999999,10,1,0,111
K4o,0.5025000000000001,9,0,0,112
K4s,0.52965,9,1,0,113
K5o,0.5148833333333334,8,0,0,114
K5s,0.54245,8,1,0,115
K6o,0.5229333333333334,7,0,0,116
K6s,0.5489999999999999,7,1,0,117
K7o,0.5333666666666667,6,0,0,118
K7s,0.559525,6,1,0,119
K8o,0.5457916666666667,5,0,0,120
K8s,0.570125,5,1,0,121
K9o,0.5659166666666667,4,0,0,122
K9s,0.5844,4,1,0,123
KJo,0.5918833333333333,2,0,0,124
KJs,0.6171,2,1,0,125
KKo,0.8198166666666666,0,0,1,126
KQo,0.6049666666666667,1,0,0,127
KQs,0.627175,1,1,0,128
KTo,0.582925,3,0,0,129
KTs,0.605075,3,1,0,130
Q2o,0.45226666666666665,10,0,0,131
Q2s,0.480475,10,1,0,132
Q3o,0.4613333333333333,9,0,0,133
Q3s,0.49055,9,1,0,134
Q4o,0.46855833333333335,8,0,0,135
Q4s,0.4944,8,1,0,136
Q5o,0.47717499999999996,7,0,0,137
Q5s,0.504825,7,1,0,138
Q6o,0.48852500000000004,6,0,0,139
Q6s,0.51995,6,1,0,140
Q7o,0.5017833333333334,5,0,0,141
Q7s,0.5285,5,1,0,142
Q8o,0.5189666666666667,4,0,0,143
Q8s,0.548,4,1,0,144
Q9o,0.5412666666666667,3,0,0,145
Q9s,0.5605,3,1,0,146
QJo,0.5675666666666667,1,0,0,147
QJs,0.5917749999999999,1,1,0,148
QQo,0.7971333333333334,0,0,1,149
QTo,0.5584583333333333,2,0,0,150
QTs,0.5791,2,1,0,151
T2o,0.39238333333333336,8,0,0,152
T2s,0.4289,8,1,0,153
T3o,0.4009833333333333,7,0,0,154
T3s,0.435275,7,1,0,155
T4o,0.4095416666666667,6,0,0,156
T4s,0.4393,6,1,0,157
T5o,0.4179083333333333,5,0,0,158
T5s,0.4504,5,1,0,159
T6o,0.4411083333333334,4,0,0,160
T6s,0.46962499999999996,4,1,0,161
T7o,0.45632500000000004,3,0,0,162
T7s,0.48545,3,1,0,163
T8o,0.4760083333333333,2,0,0,164
T8s,0.503275,2,1,0,165
T9o,0.49761666666666665,1,0,0,166
T9s,0.52525,1,1,0,167
TTo,0.7468166666666667,0,0,1,168
