hand,22o,32o,32s,33o,42o,42s,43o,43s,44o,52o,52s,53o,53s,54o,54s,55o,62o,62s,63o,63s,64o,64s,65o,65s,66o,72o,72s,73o,73s,74o,74s,75o,75s,76o,76s,77o,82o,82s,83o,83s,84o,84s,85o,85s,86o,86s,87o,87s,88o,92o,92s,93o,93s,94o,94s,95o,95s,96o,96s,97o,97s,98o,98s,99o,A2o,A2s,A3o,A3s,A4o,A4s,A5o,A5s,A6o,A6s,A7o,A7s,A8o,A8s,A9o,A9s,AAo,AJo,AJs,AKo,AKs,AQo,AQs,ATo,ATs,J2o,J2s,J3o,J3s,J4o,J4s,J5o,J5s,J6o,J6s,J7o,J7s,J8o,J8s,J9o,J9s,JJo,JTo,JTs,K2o,K2s,K3o,K3s,K4o,K4s,K5o,K5s,K6o,K6s,K7o,K7s,K8o,K8s,K9o,K9s,KJo,KJs,KKo,KQo,KQs,KTo,KTs,Q2o,Q2s,Q3o,Q3s,Q4o,Q4s,Q5o,Q5s,Q6o,Q6s,Q7o,Q7s,Q8o,Q8s,Q9o,Q9s,QJo,QJs,QQo,QTo,QTs,T2o,T2s,T3o,T3s,T4o,T4s,T5o,T5s,T6o,T6s,T7o,T7s,T8o,T8s,T9o,T9s,TTo
22o,0.5,0.6658,0.6279,0.1957,0.6596,0.6223,0.5283,0.5027,0.1894,0.6536,0.6165999999999999,0.523,0.4977,0.5108,0.4865,0.1843,0.6648999999999999,0.6269,0.5275,0.5021,0.5154,0.491,0.5032,0.4797999999999999,0.1844,0.6740999999999999,0.6353,0.5272,0.5019,0.5151,0.4907999999999999,0.503,0.4797,0.4894,0.467,0.1813,0.6703,0.6317,0.5393,0.5131,0.5272,0.502,0.5151,0.4909,0.502,0.4786999999999999,0.4886999999999999,0.4663,0.1835,0.6681999999999999,0.6297999999999999,0.5341,0.5083,0.534,0.5083,0.522,0.4972,0.5089,0.4851,0.4956,0.4727,0.488,0.4657,0.1822,0.6581999999999999,0.6204,0.5315,0.5055,0.5279,0.5022,0.5244,0.499,0.5307,0.5051,0.524,0.4988,0.525,0.4997999999999999,0.5285,0.503,0.1778,0.5195000000000001,0.4946,0.5265,0.5011,0.523,0.4979,0.516,0.4914,0.6676000000000001,0.6291,0.5337,0.5079,0.5302,0.5047,0.5266,0.5015,0.5256000000000001,0.5004,0.5124,0.4881,0.5049,0.4811999999999999,0.4963,0.4733,0.1813,0.4836999999999999,0.4615999999999999,0.6715000000000001,0.6325999999999999,0.5376,0.5114,0.534,0.5081,0.5305,0.5049,0.5259,0.5007,0.5213,0.4963,0.5257999999999999,0.5004,0.5173,0.4926,0.5082,0.4842,0.1819,0.5118,0.4874,0.5047,0.481,0.6695,0.6308,0.5357,0.5096,0.5321,0.5064,0.5285,0.5032,0.524,0.4989,0.5228,0.4977,0.5153,0.4907999999999999,0.5068,0.4829,0.4977,0.4745,0.1815,0.4942,0.4713,0.6656,0.6274000000000001,0.5318,0.5062,0.5283,0.503,0.5282,0.503,0.5152,0.4909,0.502,0.4785999999999999,0.4943999999999999,0.4715999999999999,0.4858,0.4636,0.1813
32o,0.3342,0.5,0.4747999999999999,0.108,0.4682,0.4438,0.4523,0.4311,0.1258,0.4014999999999999,0.3825,0.3915999999999999,0.3753,0.3945,0.3747,0.121,0.3713,0.3539,0.3586,0.3440999999999999,0.3752,0.3571999999999999,0.3665,0.3492,0.1347,0.3481,0.3317,0.3227,0.3102,0.3585,0.3418,0.3529,0.3367,0.3440999999999999,0.3278999999999999,0.1398,0.3234,0.3085,0.3156,0.3032999999999999,0.3546,0.3383,0.3495,0.3337,0.3431,0.3271,0.3253,0.31,0.1412,0.3085,0.2944,0.2981,0.2867,0.3504,0.3345,0.3454,0.3299,0.3429,0.327,0.3363,0.3204,0.3337,0.318,0.1442,0.2532,0.2423999999999999,0.2410999999999999,0.2330999999999999,0.3251,0.3107,0.3240999999999999,0.3099,0.3406,0.3253,0.3354999999999999,0.3198999999999999,0.3379999999999999,0.3223,0.3424,0.3264,0.1278999999999999,0.3384,0.3226,0.3402,0.3243,0.3393,0.3235,0.3375,0.3218,0.2859,0.2729,0.2748,0.2645,0.3414,0.3261,0.3404999999999999,0.3253,0.3431,0.327,0.3367,0.3207,0.3350999999999999,0.3192,0.3344,0.3186,0.1431,0.3282,0.3128,0.2748,0.2621,0.2628999999999999,0.253,0.3399,0.3246,0.3389,0.3238,0.3406,0.3247,0.3383,0.3221,0.3417,0.3252,0.3411999999999999,0.3247,0.3364999999999999,0.3204999999999999,0.1431,0.3375,0.3213,0.3356,0.3196,0.2796,0.2668,0.2682,0.2581,0.3403,0.325,0.3393,0.3242,0.341,0.3251,0.3397,0.3234,0.3381,0.3218999999999999,0.3375,0.3214,0.3328,0.317,0.143,0.3318,0.3162,0.2948,0.2814,0.284,0.2733,0.3436999999999999,0.3283,0.3436999999999999,0.3283,0.3413,0.3253999999999999,0.3349,0.319,0.3331,0.3173999999999999,0.3319,0.3162999999999999,0.1434
32s,0.3721,0.5252,0.5,0.1586999999999999,0.4946,0.4714,0.4818,0.4595,0.1681,0.4332999999999999,0.4153,0.4259,0.4083,0.4272999999999999,0.4004,0.1636,0.4058,0.3893,0.3959,0.38,0.4103,0.3843999999999999,0.402,0.3768,0.1762999999999999,0.3846,0.3691,0.3629,0.3489,0.3953,0.3703,0.3899,0.3653,0.3815999999999999,0.3571,0.1810999999999999,0.3614,0.3474,0.356,0.3422,0.3922,0.3674,0.3873,0.3629,0.3811,0.3567,0.3645,0.3404999999999999,0.1823999999999999,0.3472999999999999,0.3339,0.3395,0.3265,0.3884,0.3639,0.3835,0.3594,0.381,0.3566,0.3746,0.3503,0.3722,0.3481,0.1852,0.2945,0.2843,0.2849,0.2752,0.3644,0.341,0.3635,0.3402,0.3793999999999999,0.3553,0.3743999999999999,0.3502,0.3768,0.3525,0.3809,0.3564,0.1699,0.377,0.3527,0.3788,0.3543,0.3779,0.3535,0.3761,0.3519,0.3258,0.3134,0.3172,0.3053,0.38,0.3559,0.3791,0.3550999999999999,0.3814,0.3569,0.3754,0.3509,0.3737,0.3495,0.3729,0.3486999999999999,0.1841,0.3669,0.3431,0.3151,0.303,0.3057,0.2941,0.3786,0.3545,0.3777,0.3536999999999999,0.3791,0.3547,0.377,0.3524,0.3803,0.3555,0.3795,0.3547999999999999,0.3751,0.3506,0.1841,0.376,0.3515,0.3742,0.3497999999999999,0.3198,0.3076,0.3107999999999999,0.2991,0.379,0.3549,0.3779999999999999,0.3540999999999999,0.3795,0.3550999999999999,0.3782999999999999,0.3535999999999999,0.3767,0.3522,0.3759,0.3515,0.3714,0.3472999999999999,0.1841,0.3705,0.3464,0.3343,0.3215,0.326,0.3137,0.3821,0.358,0.3821,0.358,0.3796,0.3552,0.3735,0.3492,0.3717,0.3475999999999999,0.3704,0.3464,0.1844
33o,0.8043,0.892,0.8412999999999999,0.5,0.7016,0.6659999999999999,0.6502,0.6139,0.1898999999999999,0.6958,0.6606000000000001,0.6445000000000001,0.6086,0.5232,0.498,0.1848,0.6968000000000001,0.6616,0.6563,0.6193,0.5286,0.5031,0.5164,0.4919,0.1855,0.6962,0.6611,0.6661,0.6282,0.5313,0.5059,0.5192,0.4947,0.5061,0.4825,0.1861,0.6873,0.6528,0.6758,0.637,0.5314,0.506,0.5193,0.4949,0.5062,0.4827,0.4929,0.4703,0.1838,0.6862,0.6517000000000001,0.6724,0.6339,0.5438000000000001,0.5176,0.5318,0.5065,0.5186999999999999,0.4943,0.5059,0.4824,0.4926,0.47,0.1866,0.6884,0.6535,0.6640999999999999,0.626,0.5394,0.5131,0.5357999999999999,0.5099,0.5426,0.5163,0.5359,0.5101,0.5312,0.5057,0.5357,0.5097999999999999,0.1823,0.5267000000000001,0.5015,0.5338,0.5079,0.5302,0.5047,0.5232,0.4982999999999999,0.6862999999999999,0.6518,0.6725,0.6338,0.5406,0.5146000000000001,0.5371,0.5114,0.5361,0.5103,0.5233,0.4985,0.5101,0.4861999999999999,0.5025999999999999,0.4792,0.1858,0.4899,0.4675,0.6911,0.6559999999999999,0.6770999999999999,0.6381,0.5452,0.5186999999999999,0.5416,0.5155,0.5371,0.5112,0.5329,0.5072,0.5317000000000001,0.506,0.5242,0.4991,0.5152,0.4907999999999999,0.1863,0.5186999999999999,0.494,0.5117,0.4875,0.6887000000000001,0.6539,0.6748000000000001,0.6359,0.5428999999999999,0.5166,0.5393,0.5134000000000001,0.5347999999999999,0.5091,0.5341,0.5084000000000001,0.5209,0.4961,0.5134000000000001,0.4892,0.5043,0.4808,0.186,0.5008,0.4775,0.684,0.6496999999999999,0.6701999999999999,0.6318,0.5384,0.5126,0.5384,0.5126,0.5253,0.5005,0.5126,0.4886,0.4993,0.4761999999999999,0.4917,0.4692,0.1858
42o,0.3404,0.5318,0.5054,0.2984,0.5,0.4749,0.4633,0.4393999999999999,0.106,0.4025999999999999,0.3837,0.4422999999999999,0.4188,0.3840999999999999,0.3685,0.1225,0.3728,0.3554,0.4168,0.3954999999999999,0.3557,0.3414999999999999,0.3634,0.3465,0.1367,0.3531,0.3364999999999999,0.4023,0.3822,0.3213,0.309,0.3518,0.3359,0.3465999999999999,0.3304999999999999,0.1455,0.3284,0.3132999999999999,0.3984,0.3787,0.3143,0.3021999999999999,0.3485,0.3329,0.3456,0.3296,0.3377,0.3218999999999999,0.1469,0.3091,0.295,0.3849,0.3661,0.2981,0.2868,0.3459,0.3303999999999999,0.3434,0.3275,0.3368,0.3209,0.3342,0.3185,0.1442999999999999,0.2577,0.2466,0.3661,0.3484,0.2428,0.2347,0.3258,0.3116,0.3427,0.3275,0.3408,0.325,0.3432,0.3273,0.3429,0.3268999999999999,0.1323,0.3424,0.3264,0.3443,0.3281,0.3434,0.3273,0.3414999999999999,0.3256,0.2905,0.2771,0.3804,0.3618,0.2764999999999999,0.2661,0.3421,0.327,0.3453,0.3293,0.342,0.3257,0.3403,0.3242,0.335,0.3191,0.1475,0.3322,0.3166,0.2793,0.2663,0.3788,0.3603,0.2646,0.2546,0.3406,0.3254999999999999,0.3428,0.3268999999999999,0.3436,0.3271,0.347,0.3303,0.3417,0.3253,0.3406,0.3242,0.1475,0.3414999999999999,0.3251,0.3397,0.3234,0.2842,0.2711,0.3792999999999999,0.3607,0.2699,0.2597,0.341,0.3259,0.3432,0.3273,0.3449,0.3284,0.3433,0.3268999999999999,0.3379999999999999,0.3218999999999999,0.3368,0.3208,0.1474,0.3359,0.32,0.2993,0.2855999999999999,0.3827,0.364,0.2857,0.275,0.3454,0.33,0.3435,0.3276,0.3402,0.3240999999999999,0.3383,0.3224,0.3324,0.3167999999999999,0.1478
42s,0.3777,0.5562,0.5286,0.3339999999999999,0.5251,0.5,0.4917,0.4675,0.1568,0.4342,0.4163,0.4725999999999999,0.4431,0.4189,0.402,0.1649,0.4071,0.3907,0.4497,0.4216,0.3931,0.3775,0.3988,0.3739,0.1782,0.3890999999999999,0.3732999999999999,0.4368,0.4094,0.3615,0.3477,0.3886,0.3643,0.3835,0.3592,0.1863,0.366,0.3515999999999999,0.4336,0.4065,0.3547,0.3411,0.386,0.3619,0.3831,0.3588,0.3756,0.3515,0.1876,0.3479,0.3345,0.4211999999999999,0.3946,0.3394,0.3265,0.384,0.3599,0.3815,0.3571,0.3751,0.3509,0.3727,0.3486,0.1852,0.2986,0.2880999999999999,0.4033,0.3776,0.2865,0.2767,0.365,0.3418,0.3813,0.3571999999999999,0.3792,0.3549,0.3815999999999999,0.3571,0.3814,0.3569,0.174,0.3807999999999999,0.3563,0.3825,0.3579,0.3815999999999999,0.3571,0.3799,0.3555,0.33,0.3173,0.4169,0.3906,0.3188,0.3068,0.3806,0.3567,0.3834,0.3589,0.3801,0.3556,0.3785,0.3540999999999999,0.3735,0.3492,0.1882,0.3707,0.3467,0.3193,0.3069,0.4155,0.3892,0.3073,0.2956,0.3792,0.3552,0.3811,0.3567,0.3818,0.357,0.385,0.3601,0.3801,0.3553,0.3788,0.3542,0.1882,0.3797,0.355,0.3779999999999999,0.3534,0.324,0.3115,0.4159,0.3896,0.3124,0.3006,0.3795,0.3556,0.3815,0.3571,0.3831,0.3583,0.3815,0.3568,0.3765,0.352,0.3752,0.3508,0.1881,0.3743,0.35,0.3385,0.3253999999999999,0.419,0.3926,0.3276,0.3152,0.3836,0.3595,0.3815999999999999,0.3572999999999999,0.3782999999999999,0.3539,0.3765,0.3522,0.3709,0.3469,0.1885
43o,0.4717,0.5477000000000001,0.5182,0.3497999999999999,0.5367000000000001,0.5083,0.5,0.4749,0.1245,0.5079,0.48,0.4038,0.3853,0.3897,0.3743,0.1278,0.48,0.4543,0.3741,0.3571,0.3638,0.3496,0.3749,0.3576,0.1425,0.4633,0.439,0.3543,0.3382,0.3417,0.3284,0.3653,0.3489,0.3604,0.3438,0.1539,0.4424,0.419,0.3406,0.3247,0.3154,0.3032999999999999,0.3583,0.3425,0.3555,0.3392,0.3475999999999999,0.3314,0.1599,0.4355,0.4125999999999999,0.3229999999999999,0.308,0.3153,0.3029,0.3608,0.3448,0.3583,0.3419,0.352,0.3356,0.3348,0.3191,0.1619,0.4189,0.397,0.2716,0.2596,0.2601,0.251,0.3407,0.3259,0.3579,0.3421,0.3559,0.3396,0.3536999999999999,0.3371,0.3571,0.3402,0.1499,0.3566,0.3398,0.3585,0.3414,0.3575,0.3406,0.3557,0.3389,0.4309,0.4083,0.3043,0.2901,0.2938,0.2824,0.357,0.3413,0.3601,0.3436,0.3571999999999999,0.3404,0.3508,0.3339999999999999,0.3490999999999999,0.3325,0.1651,0.3464,0.33,0.4294,0.4068,0.2932,0.2794,0.282,0.2709,0.3554,0.3398,0.3577,0.3411999999999999,0.3588,0.3418,0.3575,0.3400999999999999,0.3559,0.3386,0.3547999999999999,0.3375999999999999,0.1651,0.3557,0.3384,0.3538,0.3368,0.4297999999999999,0.4072,0.2981,0.2841,0.2872,0.276,0.3559,0.3403,0.3581,0.3417,0.3601,0.3431,0.3538,0.3367,0.3522,0.3352,0.351,0.3342,0.165,0.3500999999999999,0.3333,0.4332,0.4105,0.3132,0.2986,0.303,0.2912,0.3602,0.3443,0.3583,0.342,0.3553,0.3387,0.3488,0.3322,0.3465999999999999,0.3302,0.1654
43s,0.4972999999999999,0.5689,0.5405,0.3861,0.5606,0.5325,0.5251,0.5,0.1737999999999999,0.5338,0.5023,0.4349,0.4174,0.4236999999999999,0.407,0.1699,0.5085000000000001,0.4785,0.4078,0.3918,0.4002,0.3846,0.4096,0.3843999999999999,0.1835999999999999,0.4935,0.4643,0.3898,0.3745,0.38,0.3653,0.4013,0.3766,0.3964999999999999,0.3718,0.1942,0.4740999999999999,0.4456,0.3772999999999999,0.3621,0.3558,0.3421,0.3952,0.3707999999999999,0.3923,0.3678,0.3848,0.3604,0.1997,0.4677,0.4395,0.3606,0.3464,0.3554,0.3414,0.3979,0.3734,0.3954,0.3706,0.3893999999999999,0.3646999999999999,0.3732999999999999,0.3490999999999999,0.2017,0.4518999999999999,0.4246,0.3114,0.3,0.3025,0.2916,0.3789,0.3553,0.3954999999999999,0.371,0.3934,0.3686999999999999,0.3913,0.3664,0.3946,0.3695,0.1903999999999999,0.3939,0.3689,0.3957,0.3705,0.3948,0.3697,0.3929999999999999,0.3681,0.4634,0.4355,0.3428,0.3292,0.3348,0.3217,0.3945,0.3702,0.3973,0.3725,0.3944,0.3693999999999999,0.3883,0.3634,0.3865999999999999,0.3619,0.2047,0.3838,0.3593,0.462,0.4341,0.332,0.3188,0.3235,0.3106,0.3929999999999999,0.3688,0.395,0.3702,0.396,0.3709,0.3948,0.3693999999999999,0.3932,0.368,0.392,0.3669,0.2046,0.3928999999999999,0.3677,0.3911,0.366,0.4624,0.4345,0.3368,0.3234,0.3285,0.3155,0.3934,0.3692,0.3954,0.3706,0.3973,0.3721,0.3912,0.3661,0.3896,0.3646,0.3883,0.3635,0.2046,0.3874,0.3626,0.4654999999999999,0.4375,0.3511999999999999,0.3373,0.3436,0.3301,0.3975,0.373,0.3954999999999999,0.3707999999999999,0.3925,0.3677,0.3862,0.3616,0.3840999999999999,0.3596,0.205
44o,0.8106,0.8742,0.8319,0.8101,0.894,0.8432,0.8755,0.8262,0.5,0.7051999999999999,0.6696,0.6970999999999999,0.6618999999999999,0.6349,0.6,0.1852,0.7066,0.6709,0.6984,0.6631999999999999,0.6472,0.6111,0.5288,0.5034000000000001,0.186,0.7062999999999999,0.6706,0.6981,0.6629999999999999,0.6574,0.6204999999999999,0.5323,0.5068,0.5192,0.4946,0.1871999999999999,0.6978,0.6627,0.6978,0.6628000000000001,0.6676000000000001,0.6297999999999999,0.5354,0.5099,0.5223,0.4977,0.5095000000000001,0.4857,0.1886,0.6912999999999999,0.6566,0.6894,0.6548,0.6777,0.6389,0.5357999999999999,0.5103,0.5228,0.4982,0.5099,0.4863,0.4967,0.4739,0.1869,0.6958,0.6605,0.6938,0.6587000000000001,0.6692,0.631,0.5466,0.52,0.5534,0.5265,0.5467,0.5202,0.5424,0.5163,0.5413,0.5151,0.1867,0.5333,0.5077,0.5403,0.5141,0.5367999999999999,0.5109,0.5297999999999999,0.5045000000000001,0.6927,0.6578,0.6907,0.6559999999999999,0.6767,0.638,0.547,0.5207,0.546,0.5196999999999999,0.5332,0.5078,0.5205,0.4959,0.5072,0.4836,0.1902,0.4956,0.4729,0.6981,0.6627,0.6960999999999999,0.6609,0.6820999999999999,0.6428,0.5521,0.5254,0.5476,0.5211,0.5433,0.5171,0.5426,0.5163,0.5295000000000001,0.5041,0.5214,0.4967,0.1907999999999999,0.5249,0.4999,0.5179,0.4935,0.6954,0.6602,0.6934,0.6584,0.6794,0.6404000000000001,0.5495,0.523,0.545,0.5188,0.5443,0.518,0.5315,0.5061,0.5183,0.4938,0.5103,0.4864,0.1903999999999999,0.5068,0.4832,0.69,0.6554000000000001,0.6881,0.6536,0.6740999999999999,0.6356,0.5479999999999999,0.5216,0.535,0.5095000000000001,0.5222,0.4976,0.5094,0.4857,0.4961,0.4733,0.1902
52o,0.3464,0.5985,0.5667,0.3042,0.5974,0.5658,0.4921,0.4661999999999999,0.2948,0.5,0.4749,0.4633,0.4393999999999999,0.4525,0.4296,0.1043999999999999,0.374,0.3566,0.4182,0.3969,0.4054999999999999,0.3851,0.3497,0.3361,0.1382,0.3546,0.3379999999999999,0.4039999999999999,0.3839,0.3912,0.3721,0.3186,0.3066,0.3439,0.3281,0.1476,0.3299,0.3148,0.4000999999999999,0.3804,0.3874,0.3686,0.3128,0.3009,0.3424,0.3268,0.3375,0.3218,0.1489,0.314,0.2996999999999999,0.3899,0.3707999999999999,0.3893,0.3704,0.2968,0.2857,0.3429,0.3272,0.3392,0.3234,0.3367,0.321,0.1499,0.2622,0.2507,0.3702,0.3522,0.3665,0.349,0.2445,0.2364,0.3443,0.3290999999999999,0.3429,0.3271,0.3454,0.3293999999999999,0.3481,0.3318,0.1367,0.3464,0.3301,0.3483,0.3318,0.3474,0.331,0.342,0.326,0.2949,0.2813,0.3843999999999999,0.3656,0.3807999999999999,0.3624,0.2782,0.2678,0.3469,0.3309,0.3442,0.3278999999999999,0.3425,0.3264,0.3400999999999999,0.3240999999999999,0.1519,0.3327,0.3171,0.2838,0.2705,0.3829,0.3641,0.3792,0.3608,0.2663,0.2562,0.3444,0.3285,0.3458,0.3293,0.3492,0.3324,0.3469,0.3302,0.3446,0.3279999999999999,0.1519,0.3455,0.3288,0.3400999999999999,0.3239,0.2887,0.2752,0.3833,0.3645,0.3796,0.3613,0.2716,0.2614,0.3448,0.3289999999999999,0.3471,0.3304999999999999,0.3455,0.3290999999999999,0.3432,0.3268,0.3408,0.3245,0.1519,0.3364,0.3204,0.2999,0.2861,0.3832,0.3645,0.3795,0.3613,0.2857,0.275,0.344,0.3281,0.3406,0.3245,0.3388,0.3228999999999999,0.3329,0.3173,0.1478
