hand,high_card_wins,one_pair_wins,two_pair_wins,three_of_a_kind_wins,straight_wins,flush_wins,full_house_wins,four_of_a_kind_wins,straight_flush_wins,tot_wins,tot_sims,tot_win_perc,high_card_win_perc,one_pair_win_perc,two_pair_win_perc,three_of_a_kind_win_perc,straight_win_perc,flush_win_perc,full_house_win_perc,four_of_a_kind_win_perc,straight_flush_win_perc,straight_win_potential,flush_win_potential,value_win_potential,highcard_win_potential
22o,0.0,1487017440.0,2118410928.0,1336752180.0,79210800.0,147734352.0,942474528.0,102694320.0,1044384.0,6215338932.0,12346602360.0,0.5034048032628144,0.0,0.23924961394205108,0.3408359465472188,0.21507309490680565,0.012744405553199846,0.023769315497724815,0.15163686780581187,0.016522722432926847,0.0001680333142610991,0.012912438867460945,0.023937348811985913,0.42008247282499117,0.0
32o,0.0,2088124560.0,2813515524.0,671886168.0,998413704.0,303705876.0,455871744.0,25682580.0,2623344.0,7359823500.0,23628509460.0,0.311480650629242,0.0,0.28371937995523944,0.3822802984337872,0.0912910707709227,0.13565728906406518,0.041265374910145605,0.06194058104790149,0.0034895646614351555,0.00035644115650327755,0.13601373022056845,0.04162181606664888,0.3343567627674767,0.0
32s,0.0,669668760.0,917191548.0,221779452.0,310456956.0,488551716.0,151948008.0,8560764.0,8355048.0,2776512252.0,7904918228.0,0.3512385798205122,0.0,0.24119063746886718,0.33033945639509465,0.07987699382210398,0.11181544607857181,0.17595878269511775,0.054726215557142806,0.0030832797492009773,0.0030091882339008673,0.11482463431247268,0.17896797092901862,0.4314790943699391,0.0
33o,0.0,1676699316.0,2315115000.0,1322448588.0,123431868.0,155642916.0,952437984.0,102692832.0,1578960.0,6650047464.0,12370515516.0,0.5375723796958051,0.0,0.2521334359005411,0.34813510919025226,0.19886302994964608,0.01856105067944219,0.023404782724119215,0.1432227347482884,0.015442420908411128,0.0002374358992996204,0.01879848657874181,0.023642218623418837,0.3999688908085063,0.0
42o,0.0,2163103764.0,2852541672.0,669843000.0,1097583264.0,310927476.0,457961112.0,25694676.0,3157944.0,7580812908.0,23619163524.0,0.3209602617932237,0.0,0.2853392888402886,0.37628440466981117,0.08836031282253616,0.14478437567582297,0.04101505732609224,0.06041055458798034,0.0033894354486554493,0.00041657062881309665,0.14520094630463606,0.041431627954905334,0.33879287711871336,0.0
42s,0.0,693778980.0,929956188.0,221105160.0,341059860.0,490159548.0,152644464.0,8564796.0,8544764.0,2845813760.0,7901795136.0,0.3601477526334087,0.0,0.24378931248122154,0.3267804102542536,0.07769488049702873,0.11984616308833927,0.1722388003352686,0.05363824792245013,0.003009612266404953,0.003002573155033167,0.12284873624337243,0.17524137349030175,0.432432850419558,0.0
43o,0.0,2240074824.0,2869745496.0,667351848.0,1485964800.0,318834024.0,460009368.0,25694676.0,3692520.0,8071367556.0,23620550484.0,0.3417095448925863,0.0,0.27753349211990713,0.355546377499154,0.0826813849536454,0.18410322534443133,0.039501859107257335,0.0569927419124958,0.0031834352508081963,0.000457483812300816,0.18456070915673214,0.039959342919558154,0.3673776141932397,0.0
43s,0.0,718562424.0,935573304.0,220285860.0,462180120.0,486686124.0,153322596.0,8564748.0,12453636.0,2997628812.0,7901204472.0,0.37938884161559006,0.0,0.2397102740417615,0.3121044541121124,0.07348670359657591,0.15418190476079532,0.1623570343505225,0.05114795914231425,0.002857174299137341,0.004154495696780753,0.15833640045757608,0.16651153004730326,0.4523397675429069,0.0
44o,0.0,1862501400.0,2511612792.0,1308135960.0,167836176.0,162864516.0,962362272.0,102699984.0,2113560.0,7080126660.0,12392548212.0,0.5713212923508455,0.0,0.263060463384422,0.35474122323116747,0.18476166074689968,0.0237052504933577,0.023003051191177418,0.13592444291102554,0.014505387958695078,0.00029852008325512077,0.02400377057661282,0.02330157127443254,0.38249683346766566,0.0
52o,33604200.0,2262444060.0,2895581856.0,669146808.0,1183900392.0,317595828.0,460048752.0,25737876.0,3692544.0,7851752316.0,23614887156.0,0.3324916297135492,0.004279834443009957,0.28814511321118447,0.36878160943761484,0.08522260777844944,0.1507816783251674,0.04044903802592135,0.05859185739500854,0.0032779785918045762,0.00047028279183940577,0.1512519611170068,0.04091932081776076,0.33926372570003016,0.004279834443009957
