hand,connectedness,suited,pair,flop_equity,turn_equity,river_equity,equity_delta,high_card,low_card,hand_type,dominates_count,combos_dominated,blocks_count,combos_blocked,blocked_by_count,combos_blocked_by_count,dominated_by_count,combos_dominated_by_count,dom_ratio,block_ratio,dom_block_ratio,block_ratio_cat,dom_block_pc1,dom_block_pc2,BB_play10,BB_play2,BB_play3,BB_play4,BB_play5,BB_play6,BB_play7,BB_play8,BB_play9,D_play10,D_play3,D_play4,D_play5,D_play6,D_play7,D_play8,D_play9,SB_play10,SB_play2,SB_play3,SB_play4,SB_play5,SB_play6,SB_play7,SB_play8,SB_play9,pos3_play10,pos3_play4,pos3_play5,pos3_play6,pos3_play7,pos3_play8,pos3_play9,pos4_play10,pos4_play5,pos4_play6,pos4_play7,pos4_play8,pos4_play9,pos5_play10,pos5_play6,pos5_play7,pos5_play8,pos5_play9,pos6_play10,pos6_play7,pos6_play8,pos6_play9,pos7_play10,pos7_play8,pos7_play9,pos8_play10,pos8_play9,pos9_play10,ev_pc1,ev_pc2
22o,0,0,1,0.66276,0.58191,0.50212,-0.16064,0,0,pair,0.0,0.0,25.0,101.0,25.0,77.0,0.0,0.0,0.0,1.3116883116883118,0.0,1,-1.9189182658716095,-5.732988757310984,-0.1,-0.01,-0.21,-0.18,-0.2,-0.2,-0.19,-0.16,-0.1,-0.12,-0.01,-0.07,-0.06,0.06,-0.11,0.02,-0.08,-0.12,-0.12,-0.15,-0.17,-0.15,-0.34,0.01,-0.08,-0.11,-0.12,-0.12,-0.16,-0.08,-0.08,-0.15,-0.14,-0.03,-0.09,-0.05,-0.03,-0.04,-0.05,-0.04,0.0,-0.06,-0.02,-0.16,0.02,-0.06,0.11,-0.01,0.02,0.03,-0.04,-0.05,-0.03,0.0,-1.9757240061443957,-0.2952869409677256
32o,1,0,0,0.22724,0.27272,0.32283,0.09559000000000001,1,0,offsuit,0.0,0.0,48.0,101.0,48.0,155.0,45.0,540.0,0.0,0.6516129032258065,0.0,0,4.424059341071258,-1.1790405243377564,-0.41,-0.2,-0.29,-0.32,-0.38,-0.32,-0.38,-0.38,-0.37,-0.04,-0.04,-0.04,-0.04,-0.05,-0.07,-0.04,-0.03,-0.29,-0.25,-0.28,-0.28,-0.28,-0.28,-0.29,-0.29,-0.29,-0.07,-0.06,-0.07,-0.14,-0.06,-0.08,-0.08,-0.05,-0.03,-0.07,-0.04,-0.04,-0.05,-0.04,-0.06,-0.05,-0.04,-0.03,-0.04,-0.04,-0.03,-0.04,-0.04,-0.03,-0.05,-0.04,-0.04,-0.03,-3.269981499468932,-1.5804861933255936
32s,1,1,0,0.23654,0.29856,0.3603,0.12376000000000001,1,0,suited,0.0,0.0,48.0,101.0,48.0,51.0,45.0,180.0,0.0,1.9803921568627447,0.0,2,2.6769054293469927,-1.6503848608189602,-0.33,-0.12,-0.24,-0.29,-0.3,-0.36,-0.33,-0.26,-0.29,-0.1,-0.06,-0.08,-0.12,-0.01,-0.13,-0.08,-0.08,-0.17,-0.21,-0.2,-0.24,-0.25,-0.31,-0.2,-0.32,-0.2,-0.14,-0.12,-0.14,-0.15,-0.08,-0.18,-0.15,-0.08,-0.08,-0.08,-0.08,-0.13,-0.1,-0.1,-0.06,-0.12,-0.12,-0.12,-0.08,-0.1,-0.1,-0.16,-0.09,-0.09,-0.11,-0.07,-0.07,-0.08,-3.695643906598221,-0.6053438902047484
33o,0,0,1,0.68989,0.61144,0.53494,-0.15495000000000003,1,1,pair,2.0,16.0,25.0,101.0,25.0,77.0,0.0,0.0,16.0,1.3116883116883118,0.2077922077922078,1,-2.068367331285531,-5.558278182210928,-0.16,0.02,-0.08,-0.17,-0.13,-0.16,-0.1,-0.25,-0.14,0.03,0.0,0.04,-0.01,-0.09,0.01,-0.07,0.0,-0.1,-0.02,-0.11,-0.17,-0.17,-0.24,-0.19,-0.15,-0.19,-0.07,-0.03,-0.12,-0.13,-0.08,-0.06,-0.08,-0.04,0.0,-0.16,-0.04,-0.09,-0.06,-0.01,-0.02,-0.07,0.02,-0.02,-0.05,0.06,-0.07,-0.09,-0.01,-0.04,0.01,0.06,-0.02,-0.04,-1.7128058339116112,0.1049305500679755
42o,2,0,0,0.23643,0.2865,0.33435,0.09791999999999998,2,0,offsuit,2.0,16.0,48.0,101.0,48.0,155.0,43.0,516.0,0.0310077519379844,0.6516129032258065,0.1032258064516129,0,4.093049211896921,-1.0187170619573562,-0.4,-0.19,-0.25,-0.3,-0.36,-0.37,-0.37,-0.39,-0.37,-0.02,-0.04,-0.02,-0.02,-0.02,-0.02,-0.03,-0.03,-0.26,-0.23,-0.26,-0.26,-0.25,-0.21,-0.26,-0.24,-0.28,-0.09,-0.04,-0.05,-0.07,-0.08,-0.08,-0.08,-0.02,-0.02,-0.04,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.03,-0.02,-0.03,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-2.833184067914293,-1.5676214017025851
42s,2,1,0,0.24755,0.30978,0.37035,0.12280000000000002,2,0,suited,2.0,16.0,48.0,101.0,48.0,51.0,43.0,172.0,0.0930232558139534,1.9803921568627447,0.3137254901960784,2,2.4050341045189905,-1.4825071471743454,-0.26,-0.11,-0.25,-0.23,-0.27,-0.41,-0.26,-0.35,-0.32,-0.03,-0.06,-0.09,-0.1,-0.13,-0.1,-0.08,-0.09,-0.29,-0.19,-0.24,-0.24,-0.25,-0.28,-0.21,-0.26,-0.25,-0.18,-0.1,-0.09,-0.19,-0.19,-0.12,-0.12,-0.1,-0.1,-0.03,-0.06,-0.12,0.04,-0.06,-0.11,-0.08,-0.12,-0.09,-0.09,-0.1,-0.13,-0.1,0.03,-0.05,-0.1,-0.07,-0.05,-0.06,-3.527814121420871,-0.8191722464124166
43o,1,0,0,0.24853,0.29731,0.3486,0.10007000000000002,2,1,offsuit,4.0,32.0,48.0,101.0,48.0,155.0,41.0,492.0,0.065040650406504,0.6516129032258065,0.2064516129032258,0,3.762039082722585,-0.8583935995769565,-0.36,-0.17,-0.27,-0.3,-0.34,-0.34,-0.34,-0.37,-0.35,-0.04,-0.04,-0.04,-0.04,-0.04,-0.02,-0.01,-0.04,-0.27,-0.24,-0.26,-0.26,-0.28,-0.23,-0.24,-0.3,-0.26,-0.09,-0.04,-0.06,-0.11,-0.15,-0.08,-0.08,-0.07,-0.05,-0.07,-0.07,-0.06,-0.02,-0.03,-0.05,0.0,-0.03,-0.01,-0.04,-0.07,-0.03,-0.03,-0.04,-0.03,-0.03,-0.02,-0.04,-0.03,-3.059586417231205,-1.4418304462797389
43s,1,1,0,0.25981,0.3203,0.38422,0.12441000000000002,2,1,suited,4.0,32.0,48.0,101.0,48.0,51.0,41.0,164.0,0.1951219512195122,1.9803921568627447,0.6274509803921569,2,2.1331627796909887,-1.314629433529731,-0.22,-0.06,-0.2,-0.2,-0.25,-0.31,-0.27,-0.26,-0.26,-0.11,-0.08,-0.08,-0.12,0.1,-0.08,-0.15,-0.01,-0.25,-0.17,-0.2,-0.23,-0.25,-0.27,-0.23,-0.23,-0.21,-0.03,-0.04,-0.08,-0.07,-0.16,-0.11,-0.1,-0.05,-0.09,-0.2,-0.15,-0.05,-0.07,-0.06,-0.1,-0.09,-0.12,-0.08,-0.09,-0.1,-0.05,-0.1,-0.09,-0.07,-0.06,-0.04,-0.1,-0.06,-3.127976795877117,-0.4717587291424032
44o,0,0,1,0.71238,0.63824,0.57131,-0.14107000000000003,2,2,pair,4.0,32.0,25.0,101.0,25.0,77.0,0.0,0.0,32.0,1.3116883116883118,0.4155844155844156,1,-2.217816396699451,-5.383567607110874,-0.1,0.07,-0.01,-0.1,-0.09,-0.13,-0.14,-0.08,-0.2,-0.03,0.13,0.04,0.07,0.03,-0.02,-0.05,-0.08,0.05,0.04,-0.06,-0.08,-0.12,-0.09,-0.09,-0.09,-0.04,-0.08,0.06,-0.03,0.16,-0.17,-0.1,-0.01,-0.06,0.0,-0.09,-0.01,-0.14,-0.08,-0.01,0.27,-0.12,-0.12,-0.07,0.1,0.12,-0.04,-0.03,0.02,-0.01,0.0,0.02,0.04,-0.06,-0.7051474810979872,0.7680563356020932
52o,3,0,0,0.25423,0.30362,0.34591,0.09167999999999998,3,0,offsuit,4.0,32.0,48.0,101.0,48.0,155.0,41.0,492.0,0.065040650406504,0.6516129032258065,0.2064516129032258,0,3.762039082722585,-0.8583935995769565,-0.37,-0.18,-0.25,-0.32,-0.34,-0.34,-0.36,-0.33,-0.37,-0.02,-0.02,-0.02,-0.02,-0.02,-0.05,-0.03,-0.02,-0.25,-0.23,-0.24,-0.27,-0.27,-0.29,-0.28,-0.29,-0.28,-0.09,-0.04,-0.04,-0.1,-0.07,-0.06,-0.07,-0.02,-0.02,-0.04,-0.03,-0.03,-0.02,-0.03,-0.07,-0.01,-0.02,-0.02,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-2.829644487711528,-1.5288517714132506
