hand,position,EV,players,card1,card2,suited,card1_rank_id,card2_rank_id,EV_deviation,hand_type_id,position_id,players_id,pos_play
AAo,SB,2.72,10,A,A,o,12,12,0.35462962962962985,2,0,8,SB10
KKo,SB,1.9,10,K,K,o,11,11,0.2187037037037034,2,0,8,SB10
QQo,SB,1.18,10,Q,Q,o,10,10,-0.032777777777777795,2,0,8,SB10
JJo,SB,0.67,10,J,J,o,9,9,-0.1751851851851851,2,0,8,SB10
TTo,SB,0.38,10,T,T,o,8,8,-0.17814814814814817,2,0,8,SB10
99o,SB,0.18,10,9,9,o,7,7,-0.1740740740740741,2,0,8,SB10
88o,SB,0.1,10,8,8,o,6,6,-0.13,2,0,8,SB10
77o,SB,-0.06,10,7,7,o,5,5,-0.1925925925925926,2,0,8,SB10
66o,SB,-0.01,10,6,6,o,4,4,-0.06722222222222222,2,0,8,SB10
55o,SB,-0.02,10,5,5,o,3,3,-0.02462962962962963,2,0,8,SB10
44o,SB,0.05,10,4,4,o,2,2,0.07981481481481482,2,0,8,SB10
33o,SB,-0.1,10,3,3,o,1,1,-0.028703703703703703,2,0,8,SB10
22o,SB,-0.12,10,2,2,o,0,0,-0.03888888888888889,2,0,8,SB10
AKo,SB,0.42,10,A,K,o,12,11,-0.09148148148148155,0,0,8,SB10
AKs,SB,0.68,10,A,K,s,12,11,-0.10370370370370363,1,0,8,SB10
AQo,SB,0.18,10,A,Q,o,12,10,-0.12722222222222224,0,0,8,SB10
AQs,SB,0.57,10,A,Q,s,12,10,-0.028703703703703676,1,0,8,SB10
AJo,SB,0.03,10,A,J,o,12,9,-0.14574074074074075,0,0,8,SB10
AJs,SB,0.41,10,A,J,s,12,9,-0.018703703703703722,1,0,8,SB10
ATo,SB,-0.08,10,A,T,o,12,8,-0.14740740740740743,0,0,8,SB10
ATs,SB,0.19,10,A,T,s,12,8,-0.12444444444444447,1,0,8,SB10
A9o,SB,-0.22,10,A,9,o,12,7,-0.1764814814814815,0,0,8,SB10
A9s,SB,0.16,10,A,9,s,12,7,-0.009074074074074095,1,0,8,SB10
A8o,SB,-0.21,10,A,8,o,12,6,-0.13314814814814813,0,0,8,SB10
A8s,SB,-0.01,10,A,8,s,12,6,-0.09759259259259259,1,0,8,SB10
A7o,SB,-0.22,10,A,7,o,12,5,-0.11814814814814815,0,0,8,SB10
A7s,SB,-0.07,10,A,7,s,12,5,-0.15074074074074076,1,0,8,SB10
A6o,SB,-0.29,10,A,6,o,12,4,-0.16629629629629628,0,0,8,SB10
A6s,SB,0.01,10,A,6,s,12,4,-0.011111111111111112,1,0,8,SB10
A5o,SB,-0.26,10,A,5,o,12,3,-0.13537037037037036,0,0,8,SB10
A5s,SB,0.11,10,A,5,s,12,3,0.03314814814814815,1,0,8,SB10
A4o,SB,-0.27,10,A,4,o,12,2,-0.14481481481481484,0,0,8,SB10
A4s,SB,-0.03,10,A,4,s,12,2,-0.08537037037037037,1,0,8,SB10
A3o,SB,-0.28,10,A,3,o,12,1,-0.1453703703703704,0,0,8,SB10
A3s,SB,-0.12,10,A,3,s,12,1,-0.13296296296296295,1,0,8,SB10
A2o,SB,-0.27,10,A,2,o,12,0,-0.11870370370370373,0,0,8,SB10
A2s,SB,-0.12,10,A,2,s,12,0,-0.11425925925925925,1,0,8,SB10
KQo,SB,0.03,10,K,Q,o,11,10,-0.12555555555555556,0,0,8,SB10
KQs,SB,0.36,10,K,Q,s,11,10,-0.02092592592592596,1,0,8,SB10
KJo,SB,-0.08,10,K,J,o,11,9,-0.15074074074074073,0,0,8,SB10
KJs,SB,0.17,10,K,J,s,11,9,-0.11944444444444444,1,0,8,SB10
KTo,SB,-0.2,10,K,T,o,11,8,-0.2012962962962963,0,0,8,SB10
KTs,SB,0.15,10,K,T,s,11,8,-0.04037037037037036,1,0,8,SB10
K9o,SB,-0.26,10,K,9,o,11,7,-0.1761111111111111,0,0,8,SB10
K9s,SB,-0.07,10,K,9,s,11,7,-0.14592592592592596,1,0,8,SB10
K8o,SB,-0.27,10,K,8,o,11,6,-0.1538888888888889,0,0,8,SB10
K8s,SB,-0.08,10,K,8,s,11,6,-0.08648148148148148,1,0,8,SB10
K7o,SB,-0.26,10,K,7,o,11,5,-0.1412962962962963,0,0,8,SB10
K7s,SB,-0.07,10,K,7,s,11,5,-0.06888888888888889,1,0,8,SB10
K6o,SB,-0.27,10,K,6,o,11,4,-0.1527777777777778,0,0,8,SB10
K6s,SB,-0.17,10,K,6,s,11,4,-0.12666666666666668,1,0,8,SB10
K5o,SB,-0.29,10,K,5,o,11,3,-0.15999999999999998,0,0,8,SB10
K5s,SB,-0.21,10,K,5,s,11,3,-0.16518518518518518,1,0,8,SB10
K4o,SB,-0.3,10,K,4,o,11,2,-0.1701851851851852,0,0,8,SB10
K4s,SB,-0.16,10,K,4,s,11,2,-0.10962962962962963,1,0,8,SB10
K3o,SB,-0.27,10,K,3,o,11,1,-0.13796296296296298,0,0,8,SB10
K3s,SB,-0.12,10,K,3,s,11,1,-0.03277777777777778,1,0,8,SB10
K2o,SB,-0.26,10,K,2,o,11,0,-0.12314814814814815,0,0,8,SB10
K2s,SB,-0.15,10,K,2,s,11,0,-0.056296296296296275,1,0,8,SB10
QJo,SB,-0.1,10,Q,J,o,10,9,-0.11907407407407408,0,0,8,SB10
QJs,SB,0.17,10,Q,J,s,10,9,-0.06314814814814812,1,0,8,SB10
QTo,SB,-0.16,10,Q,T,o,10,8,-0.13,0,0,8,SB10
QTs,SB,0.02,10,Q,T,s,10,8,-0.14314814814814816,1,0,8,SB10
Q9o,SB,-0.25,10,Q,9,o,10,7,-0.1624074074074074,0,0,8,SB10
Q9s,SB,-0.07,10,Q,9,s,10,7,-0.1275925925925926,1,0,8,SB10
Q8o,SB,-0.28,10,Q,8,o,10,6,-0.16611111111111113,0,0,8,SB10
Q8s,SB,-0.1,10,Q,8,s,10,6,-0.08351851851851852,1,0,8,SB10
Q7o,SB,-0.29,10,Q,7,o,10,5,-0.1698148148148148,0,0,8,SB10
Q7s,SB,-0.2,10,Q,7,s,10,5,-0.1325925925925926,1,0,8,SB10
Q6o,SB,-0.28,10,Q,6,o,10,4,-0.15555555555555559,0,0,8,SB10
Q6s,SB,-0.2,10,Q,6,s,10,4,-0.12722222222222224,1,0,8,SB10
Q5o,SB,-0.31,10,Q,5,o,10,3,-0.18648148148148147,0,0,8,SB10
Q5s,SB,-0.21,10,Q,5,s,10,3,-0.12444444444444444,1,0,8,SB10
Q4o,SB,-0.27,10,Q,4,o,10,2,-0.14240740740740743,0,0,8,SB10
Q4s,SB,-0.19,10,Q,4,s,10,2,-0.08777777777777777,1,0,8,SB10
Q3o,SB,-0.27,10,Q,3,o,10,1,-0.14481481481481484,0,0,8,SB10
Q3s,SB,-0.27,10,Q,3,s,10,1,-0.16796296296296298,1,0,8,SB10
Q2o,SB,-0.3,10,Q,2,o,10,0,-0.17074074074074072,0,0,8,SB10
Q2s,SB,-0.29,10,Q,2,s,10,0,-0.17351851851851852,1,0,8,SB10
JTo,SB,-0.2,10,J,T,o,9,8,-0.16796296296296298,0,0,8,SB10
JTs,SB,0.07,10,J,T,s,9,8,-0.07703703703703704,1,0,8,SB10
J9o,SB,-0.22,10,J,9,o,9,7,-0.13240740740740742,0,0,8,SB10
J9s,SB,-0.04,10,J,9,s,9,7,-0.07203703703703704,1,0,8,SB10
J8o,SB,-0.28,10,J,8,o,9,6,-0.17592592592592593,0,0,8,SB10
J8s,SB,-0.1,10,J,8,s,9,6,-0.06518518518518518,1,0,8,SB10
J7o,SB,-0.28,10,J,7,o,9,5,-0.16037037037037039,0,0,8,SB10
J7s,SB,-0.15,10,J,7,s,9,5,-0.08166666666666667,1,0,8,SB10
J6o,SB,-0.28,10,J,6,o,9,4,-0.15722222222222226,0,0,8,SB10
J6s,SB,-0.2,10,J,6,s,9,4,-0.08666666666666667,1,0,8,SB10
J5o,SB,-0.28,10,J,5,o,9,3,-0.15185185185185188,0,0,8,SB10
J5s,SB,-0.25,10,J,5,s,9,3,-0.14629629629629629,1,0,8,SB10
J4o,SB,-0.27,10,J,4,o,9,2,-0.15129629629629632,0,0,8,SB10
J4s,SB,-0.28,10,J,4,s,9,2,-0.1614814814814815,1,0,8,SB10
J3o,SB,-0.28,10,J,3,o,9,1,-0.1542592592592593,0,0,8,SB10
J3s,SB,-0.27,10,J,3,s,9,1,-0.1388888888888889,1,0,8,SB10
J2o,SB,-0.28,10,J,2,o,9,0,-0.15370370370370373,0,0,8,SB10
J2s,SB,-0.27,10,J,2,s,9,0,-0.13055555555555556,1,0,8,SB10
T9o,SB,-0.14,10,T,9,o,8,7,-0.06703703703703705,0,0,8,SB10
T9s,SB,-0.08,10,T,9,s,8,7,-0.12703703703703703,1,0,8,SB10
T8o,SB,-0.25,10,T,8,o,8,6,-0.1561111111111111,0,0,8,SB10
T8s,SB,-0.13,10,T,8,s,8,6,-0.12037037037037038,1,0,8,SB10
T7o,SB,-0.26,10,T,7,o,8,5,-0.1562962962962963,0,0,8,SB10
T7s,SB,-0.17,10,T,7,s,8,5,-0.1201851851851852,1,0,8,SB10
T6o,SB,-0.3,10,T,6,o,8,4,-0.18925925925925924,0,0,8,SB10
T6s,SB,-0.19,10,T,6,s,8,4,-0.08037037037037037,1,0,8,SB10
T5o,SB,-0.29,10,T,5,o,8,3,-0.17129629629629628,0,0,8,SB10
T5s,SB,-0.28,10,T,5,s,8,3,-0.16574074074074077,1,0,8,SB10
T4o,SB,-0.27,10,T,4,o,8,2,-0.15296296296296297,0,0,8,SB10
T4s,SB,-0.26,10,T,4,s,8,2,-0.13870370370370372,1,0,8,SB10
T3o,SB,-0.28,10,T,3,o,8,1,-0.16037037037037039,0,0,8,SB10
T3s,SB,-0.23,10,T,3,s,8,1,-0.10222222222222221,1,0,8,SB10
T2o,SB,-0.28,10,T,2,o,8,0,-0.16314814814814818,0,0,8,SB10
T2s,SB,-0.29,10,T,2,s,8,0,-0.15814814814814812,1,0,8,SB10
98o,SB,-0.18,10,9,8,o,7,6,-0.08222222222222221,0,0,8,SB10
98s,SB,-0.03,10,9,8,s,7,6,-0.028518518518518516,1,0,8,SB10
97o,SB,-0.22,10,9,7,o,7,5,-0.11925925925925926,0,0,8,SB10
97s,SB,-0.17,10,9,7,s,7,5,-0.12592592592592594,1,0,8,SB10
96o,SB,-0.29,10,9,6,o,7,4,-0.17629629629629628,0,0,8,SB10
96s,SB,-0.18,10,9,6,s,7,4,-0.09092592592592591,1,0,8,SB10
95o,SB,-0.27,10,9,5,o,7,3,-0.15925925925925927,0,0,8,SB10
95s,SB,-0.23,10,9,5,s,7,3,-0.11370370370370371,1,0,8,SB10
94o,SB,-0.28,10,9,4,o,7,2,-0.16388888888888892,0,0,8,SB10
94s,SB,-0.29,10,9,4,s,7,2,-0.145,1,0,8,SB10
93o,SB,-0.26,10,9,3,o,7,1,-0.14314814814814814,0,0,8,SB10
93s,SB,-0.17,10,9,3,s,7,1,-0.03814814814814815,1,0,8,SB10
92o,SB,-0.26,10,9,2,o,7,0,-0.1412962962962963,0,0,8,SB10
92s,SB,-0.22,10,9,2,s,7,0,-0.07962962962962963,1,0,8,SB10
