hand1,hand2,hand1_equity,hand2_equity
22o,32o,0.6658,0.3342
22o,32s,0.6279,0.3721
33o,22o,0.8043,0.1957
22o,42o,0.6596,0.3404
22o,42s,0.6223,0.37770000000000004
22o,43o,0.5283,0.4717
22o,43s,0.5027,0.49729999999999996
44o,22o,0.8106,0.1894
22o,52o,0.6536,0.3464
22o,52s,0.6165999999999999,0.3834
22o,53o,0.523,0.47700000000000004
22o,53s,0.49770000000000003,0.5023
22o,54o,0.5108,0.4892
22o,54s,0.4865,0.5135000000000001
55o,22o,0.8157,0.1843
22o,62o,0.6648999999999999,0.33509999999999995
22o,62s,0.6269,0.37310000000000004
22o,63o,0.5275,0.4725
22o,63s,0.5021,0.4979
22o,64o,0.5154,0.48460000000000003
22o,64s,0.491,0.509
22o,65o,0.5032,0.4968
22o,65s,0.47979999999999995,0.5202
66o,22o,0.8156,0.1844
22o,72o,0.6740999999999999,0.3259
22o,72s,0.6353,0.36469999999999997
22o,73o,0.5272,0.4728
22o,73s,0.5019,0.49810000000000004
22o,74o,0.5151,0.4849
22o,74s,0.49079999999999996,0.5092
22o,75o,0.503,0.49700000000000005
22o,75s,0.4797,0.5203
22o,76o,0.4894,0.5106
22o,76s,0.467,0.5329999999999999
77o,22o,0.8187000000000001,0.1813
22o,82o,0.6703,0.3297
22o,82s,0.6317,0.36829999999999996
22o,83o,0.5393,0.4607
22o,83s,0.5131,0.4869
22o,84o,0.5272,0.4728
22o,84s,0.502,0.498
22o,85o,0.5151,0.4849
22o,85s,0.49090000000000006,0.5091
22o,86o,0.502,0.498
22o,86s,0.47869999999999996,0.5213
22o,87o,0.48869999999999997,0.5113
22o,87s,0.46630000000000005,0.5337
88o,22o,0.8165,0.18350000000000002
22o,92o,0.6681999999999999,0.3318
22o,92s,0.6297999999999999,0.37020000000000003
22o,93o,0.5341,0.46590000000000004
22o,93s,0.5083,0.4917
22o,94o,0.534,0.466
22o,94s,0.5083,0.4917
22o,95o,0.522,0.478
22o,95s,0.4972,0.5028
22o,96o,0.5089,0.4911
22o,96s,0.4851,0.5149
22o,97o,0.49560000000000004,0.5044
22o,97s,0.4727,0.5273
22o,98o,0.488,0.512
22o,98s,0.4657,0.5343
99o,22o,0.8178,0.1822
22o,A2o,0.6581999999999999,0.3418
22o,A2s,0.6204,0.3796
22o,A3o,0.5315,0.4685
22o,A3s,0.5055,0.49450000000000005
22o,A4o,0.5279,0.4721
22o,A4s,0.5022,0.4978
22o,A5o,0.5244,0.4756
22o,A5s,0.499,0.501
22o,A6o,0.5307,0.4693
22o,A6s,0.5051,0.4949
22o,A7o,0.524,0.47600000000000003
22o,A7s,0.4988,0.5012
22o,A8o,0.525,0.475
22o,A8s,0.49979999999999997,0.5002
22o,A9o,0.5285,0.4715
22o,A9s,0.503,0.49700000000000005
