hand,suited,connectedness,pair,high_card,low_card,rank_diff,hand_type,ace,broadway,low_pair,medium_pair,high_pair,suited_broadway,connector,one_gap,two_gap,suited_connector,suited_one_gap,suited_two_gap,tot_win_perc,high_card_win_perc,one_pair_win_perc,two_pair_win_perc,three_of_a_kind_win_perc,straight_win_perc,flush_win_perc,full_house_win_perc,four_of_a_kind_win_perc,straight_flush_win_perc,BB_play10,BB_play2,BB_play3,BB_play4,BB_play5,BB_play6,BB_play7,BB_play8,BB_play9,D_play10,D_play3,D_play4,D_play5,D_play6,D_play7,D_play8,D_play9,SB_play10,SB_play2,SB_play3,SB_play4,SB_play5,SB_play6,SB_play7,SB_play8,SB_play9,pos3_play10,pos3_play4,pos3_play5,pos3_play6,pos3_play7,pos3_play8,pos3_play9,pos4_play10,pos4_play5,pos4_play6,pos4_play7,pos4_play8,pos4_play9,pos5_play10,pos5_play6,pos5_play7,pos5_play8,pos5_play9,pos6_play10,pos6_play7,pos6_play8,pos6_play9,pos7_play10,pos7_play8,pos7_play9,pos8_play10,pos8_play9,pos9_play10
22o,0,0,1,0,0,0,pair,0,0,1,0,0,0,0,0,0,0,0,0,0.5034048032628144,0.0,0.239249613942051,0.3408359465472188,0.2150730949068056,0.0127444055531998,0.0237693154977248,0.1516368678058118,0.0165227224329268,0.000168033314261,-0.1,-0.01,-0.21,-0.18,-0.2,-0.2,-0.19,-0.16,-0.1,-0.12,-0.01,-0.07,-0.06,0.06,-0.11,0.02,-0.08,-0.12,-0.12,-0.15,-0.17,-0.15,-0.34,0.01,-0.08,-0.11,-0.12,-0.12,-0.16,-0.08,-0.08,-0.15,-0.14,-0.03,-0.09,-0.05,-0.03,-0.04,-0.05,-0.04,0.0,-0.06,-0.02,-0.16,0.02,-0.06,0.11,-0.01,0.02,0.03,-0.04,-0.05,-0.03,0.0
32o,0,1,0,1,0,1,offsuit,0,0,0,0,0,0,1,0,0,0,0,0,0.311480650629242,0.0,0.2837193799552394,0.3822802984337872,0.0912910707709227,0.1356572890640651,0.0412653749101456,0.0619405810479014,0.0034895646614351,0.0003564411565032,-0.41,-0.2,-0.29,-0.32,-0.38,-0.32,-0.38,-0.38,-0.37,-0.04,-0.04,-0.04,-0.04,-0.05,-0.07,-0.04,-0.03,-0.29,-0.25,-0.28,-0.28,-0.28,-0.28,-0.29,-0.29,-0.29,-0.07,-0.06,-0.07,-0.14,-0.06,-0.08,-0.08,-0.05,-0.03,-0.07,-0.04,-0.04,-0.05,-0.04,-0.06,-0.05,-0.04,-0.03,-0.04,-0.04,-0.03,-0.04,-0.04,-0.03,-0.05,-0.04,-0.04,-0.03
32s,1,1,0,1,0,1,suited,0,0,0,0,0,0,1,0,0,1,0,0,0.3512385798205122,0.0,0.2411906374688671,0.3303394563950946,0.0798769938221039,0.1118154460785718,0.1759587826951177,0.0547262155571428,0.0030832797492009,0.0030091882339008,-0.33,-0.12,-0.24,-0.29,-0.3,-0.36,-0.33,-0.26,-0.29,-0.1,-0.06,-0.08,-0.12,-0.01,-0.13,-0.08,-0.08,-0.17,-0.21,-0.2,-0.24,-0.25,-0.31,-0.2,-0.32,-0.2,-0.14,-0.12,-0.14,-0.15,-0.08,-0.18,-0.15,-0.08,-0.08,-0.08,-0.08,-0.13,-0.1,-0.1,-0.06,-0.12,-0.12,-0.12,-0.08,-0.1,-0.1,-0.16,-0.09,-0.09,-0.11,-0.07,-0.07,-0.08
33o,0,0,1,1,1,0,pair,0,0,1,0,0,0,0,0,0,0,0,0,0.5375723796958051,0.0,0.2521334359005411,0.3481351091902522,0.198863029949646,0.0185610506794421,0.0234047827241192,0.1432227347482884,0.0154424209084111,0.0002374358992996,-0.16,0.02,-0.08,-0.17,-0.13,-0.16,-0.1,-0.25,-0.14,0.03,0.0,0.04,-0.01,-0.09,0.01,-0.07,0.0,-0.1,-0.02,-0.11,-0.17,-0.17,-0.24,-0.19,-0.15,-0.19,-0.07,-0.03,-0.12,-0.13,-0.08,-0.06,-0.08,-0.04,0.0,-0.16,-0.04,-0.09,-0.06,-0.01,-0.02,-0.07,0.02,-0.02,-0.05,0.06,-0.07,-0.09,-0.01,-0.04,0.01,0.06,-0.02,-0.04
42o,0,2,0,2,0,2,offsuit,0,0,0,0,0,0,0,1,0,0,0,0,0.3209602617932237,0.0,0.2853392888402886,0.3762844046698111,0.0883603128225361,0.1447843756758229,0.0410150573260922,0.0604105545879803,0.0033894354486554,0.000416570628813,-0.4,-0.19,-0.25,-0.3,-0.36,-0.37,-0.37,-0.39,-0.37,-0.02,-0.04,-0.02,-0.02,-0.02,-0.02,-0.03,-0.03,-0.26,-0.23,-0.26,-0.26,-0.25,-0.21,-0.26,-0.24,-0.28,-0.09,-0.04,-0.05,-0.07,-0.08,-0.08,-0.08,-0.02,-0.02,-0.04,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.03,-0.02,-0.03,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
42s,1,2,0,2,0,2,suited,0,0,0,0,0,0,0,1,0,0,1,0,0.3601477526334087,0.0,0.2437893124812215,0.3267804102542536,0.0776948804970287,0.1198461630883392,0.1722388003352686,0.0536382479224501,0.0030096122664049,0.0030025731550331,-0.26,-0.11,-0.25,-0.23,-0.27,-0.41,-0.26,-0.35,-0.32,-0.03,-0.06,-0.09,-0.1,-0.13,-0.1,-0.08,-0.09,-0.29,-0.19,-0.24,-0.24,-0.25,-0.28,-0.21,-0.26,-0.25,-0.18,-0.1,-0.09,-0.19,-0.19,-0.12,-0.12,-0.1,-0.1,-0.03,-0.06,-0.12,0.04,-0.06,-0.11,-0.08,-0.12,-0.09,-0.09,-0.1,-0.13,-0.1,0.03,-0.05,-0.1,-0.07,-0.05,-0.06
43o,0,1,0,2,1,1,offsuit,0,0,0,0,0,0,1,0,0,0,0,0,0.3417095448925863,0.0,0.2775334921199071,0.355546377499154,0.0826813849536454,0.1841032253444313,0.0395018591072573,0.0569927419124958,0.0031834352508081,0.0004574838123008,-0.36,-0.17,-0.27,-0.3,-0.34,-0.34,-0.34,-0.37,-0.35,-0.04,-0.04,-0.04,-0.04,-0.04,-0.02,-0.01,-0.04,-0.27,-0.24,-0.26,-0.26,-0.28,-0.23,-0.24,-0.3,-0.26,-0.09,-0.04,-0.06,-0.11,-0.15,-0.08,-0.08,-0.07,-0.05,-0.07,-0.07,-0.06,-0.02,-0.03,-0.05,0.0,-0.03,-0.01,-0.04,-0.07,-0.03,-0.03,-0.04,-0.03,-0.03,-0.02,-0.04,-0.03
43s,1,1,0,2,1,1,suited,0,0,0,0,0,0,1,0,0,1,0,0,0.37938884161559,0.0,0.2397102740417615,0.3121044541121124,0.0734867035965759,0.1541819047607953,0.1623570343505225,0.0511479591423142,0.0028571742991373,0.0041544956967807,-0.22,-0.06,-0.2,-0.2,-0.25,-0.31,-0.27,-0.26,-0.26,-0.11,-0.08,-0.08,-0.12,0.1,-0.08,-0.15,-0.01,-0.25,-0.17,-0.2,-0.23,-0.25,-0.27,-0.23,-0.23,-0.21,-0.03,-0.04,-0.08,-0.07,-0.16,-0.11,-0.1,-0.05,-0.09,-0.2,-0.15,-0.05,-0.07,-0.06,-0.1,-0.09,-0.12,-0.08,-0.09,-0.1,-0.05,-0.1,-0.09,-0.07,-0.06,-0.04,-0.1,-0.06
44o,0,0,1,2,2,0,pair,0,0,1,0,0,0,0,0,0,0,0,0,0.5713212923508455,0.0,0.263060463384422,0.3547412232311674,0.1847616607468996,0.0237052504933577,0.0230030511911774,0.1359244429110255,0.014505387958695,0.0002985200832551,-0.1,0.07,-0.01,-0.1,-0.09,-0.13,-0.14,-0.08,-0.2,-0.03,0.13,0.04,0.07,0.03,-0.02,-0.05,-0.08,0.05,0.04,-0.06,-0.08,-0.12,-0.09,-0.09,-0.09,-0.04,-0.08,0.06,-0.03,0.16,-0.17,-0.1,-0.01,-0.06,0.0,-0.09,-0.01,-0.14,-0.08,-0.01,0.27,-0.12,-0.12,-0.07,0.1,0.12,-0.04,-0.03,0.02,-0.01,0.0,0.02,0.04,-0.06
52o,0,3,0,3,0,3,offsuit,0,0,0,0,0,0,0,0,1,0,0,0,0.3324916297135492,0.0042798344430099,0.2881451132111844,0.3687816094376148,0.0852226077784494,0.1507816783251674,0.0404490380259213,0.0585918573950085,0.0032779785918045,0.0004702827918394,-0.37,-0.18,-0.25,-0.32,-0.34,-0.34,-0.36,-0.33,-0.37,-0.02,-0.02,-0.02,-0.02,-0.02,-0.05,-0.03,-0.02,-0.25,-0.23,-0.24,-0.27,-0.27,-0.29,-0.28,-0.29,-0.28,-0.09,-0.04,-0.04,-0.1,-0.07,-0.06,-0.07,-0.02,-0.02,-0.04,-0.03,-0.03,-0.02,-0.03,-0.07,-0.01,-0.02,-0.02,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01
