hand,hand_idx,suited,connectedness,pair,high_card,low_card,rank_diff,hand_type,ace,broadway,low_pair,medium_pair,high_pair,broadway_score,suited_broadway,suited_broadway_score,connector,one_gap,two_gap,suited_connector,suited_one_gap,suited_two_gap,connectedness_score,rank_diff_score,high_card_score,low_card_score,suited_connected_score
22o,0,0,0,1,0,0,0,pair,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
32o,1,0,1,0,1,0,1,offsuit,0,0,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0.9090909090909091,0.9166666666666666,0.08333333333333333,0.0,0.0
32s,2,1,1,0,1,0,1,suited,0,0,0,0,0,0.0,0,0.0,1,0,0,1,0,0,0.9090909090909091,0.9166666666666666,0.08333333333333333,0.0,0.9090909090909091
33o,3,0,0,1,1,1,0,pair,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0,0,1.0,1.0,0.08333333333333333,0.08333333333333333,0.0
42o,4,0,2,0,2,0,2,offsuit,0,0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0.8181818181818182,0.8333333333333334,0.16666666666666666,0.0,0.0
42s,5,1,2,0,2,0,2,suited,0,0,0,0,0,0.0,0,0.0,0,1,0,0,1,0,0.8181818181818182,0.8333333333333334,0.16666666666666666,0.0,0.8181818181818182
43o,6,0,1,0,2,1,1,offsuit,0,0,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0.9090909090909091,0.9166666666666666,0.16666666666666666,0.08333333333333333,0.0
43s,7,1,1,0,2,1,1,suited,0,0,0,0,0,0.0,0,0.0,1,0,0,1,0,0,0.9090909090909091,0.9166666666666666,0.16666666666666666,0.08333333333333333,0.9090909090909091
44o,8,0,0,1,2,2,0,pair,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0,0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0
52o,9,0,3,0,3,0,3,offsuit,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0.7272727272727273,0.75,0.25,0.0,0.0
52s,10,1,3,0,3,0,3,suited,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,1,0.7272727272727273,0.75,0.25,0.0,0.7272727272727273
53o,11,0,2,0,3,1,2,offsuit,0,0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0.8181818181818182,0.8333333333333334,0.25,0.08333333333333333,0.0
53s,12,1,2,0,3,1,2,suited,0,0,0,0,0,0.0,0,0.0,0,1,0,0,1,0,0.8181818181818182,0.8333333333333334,0.25,0.08333333333333333,0.8181818181818182
54o,13,0,1,0,3,2,1,offsuit,0,0,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0.9090909090909091,0.9166666666666666,0.25,0.16666666666666666,0.0
54s,14,1,1,0,3,2,1,suited,0,0,0,0,0,0.0,0,0.0,1,0,0,1,0,0,0.9090909090909091,0.9166666666666666,0.25,0.16666666666666666,0.9090909090909091
55o,15,0,0,1,3,3,0,pair,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0,0,1.0,1.0,0.25,0.25,0.0
62o,16,0,4,0,4,0,4,offsuit,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.6363636363636364,0.6666666666666666,0.3333333333333333,0.0,0.0
62s,17,1,4,0,4,0,4,suited,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.6363636363636364,0.6666666666666666,0.3333333333333333,0.0,0.6363636363636364
63o,18,0,3,0,4,1,3,offsuit,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0.7272727272727273,0.75,0.3333333333333333,0.08333333333333333,0.0
63s,19,1,3,0,4,1,3,suited,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,1,0.7272727272727273,0.75,0.3333333333333333,0.08333333333333333,0.7272727272727273
64o,20,0,2,0,4,2,2,offsuit,0,0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0.8181818181818182,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.0
64s,21,1,2,0,4,2,2,suited,0,0,0,0,0,0.0,0,0.0,0,1,0,0,1,0,0.8181818181818182,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.8181818181818182
65o,22,0,1,0,4,3,1,offsuit,0,0,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0.9090909090909091,0.9166666666666666,0.3333333333333333,0.25,0.0
65s,23,1,1,0,4,3,1,suited,0,0,0,0,0,0.0,0,0.0,1,0,0,1,0,0,0.9090909090909091,0.9166666666666666,0.3333333333333333,0.25,0.9090909090909091
66o,24,0,0,1,4,4,0,pair,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0,0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0
72o,25,0,5,0,5,0,5,offsuit,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.5454545454545454,0.5833333333333334,0.4166666666666667,0.0,0.0
72s,26,1,5,0,5,0,5,suited,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.5454545454545454,0.5833333333333334,0.4166666666666667,0.0,0.5454545454545454
73o,27,0,4,0,5,1,4,offsuit,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.6363636363636364,0.6666666666666666,0.4166666666666667,0.08333333333333333,0.0
73s,28,1,4,0,5,1,4,suited,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.6363636363636364,0.6666666666666666,0.4166666666666667,0.08333333333333333,0.6363636363636364
74o,29,0,3,0,5,2,3,offsuit,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0.7272727272727273,0.75,0.4166666666666667,0.16666666666666666,0.0
74s,30,1,3,0,5,2,3,suited,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,1,0.7272727272727273,0.75,0.4166666666666667,0.16666666666666666,0.7272727272727273
75o,31,0,2,0,5,3,2,offsuit,0,0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0.8181818181818182,0.8333333333333334,0.4166666666666667,0.25,0.0
75s,32,1,2,0,5,3,2,suited,0,0,0,0,0,0.0,0,0.0,0,1,0,0,1,0,0.8181818181818182,0.8333333333333334,0.4166666666666667,0.25,0.8181818181818182
76o,33,0,1,0,5,4,1,offsuit,0,0,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0.9090909090909091,0.9166666666666666,0.4166666666666667,0.3333333333333333,0.0
76s,34,1,1,0,5,4,1,suited,0,0,0,0,0,0.0,0,0.0,1,0,0,1,0,0,0.9090909090909091,0.9166666666666666,0.4166666666666667,0.3333333333333333,0.9090909090909091
77o,35,0,0,1,5,5,0,pair,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0,1.0,1.0,0.4166666666666667,0.4166666666666667,0.0
