hand,dominates_count,combos_dominated,blocks_count,combos_blocked,blocked_by_count,combos_blocked_by_count,dominated_by_count,combos_dominated_by_count,dom_ratio,block_ratio,dom_block_ratio,block_ratio_cat,dom_block_pc1,dom_block_pc2
AAo,24.0,192.0,25.0,100.0,25.0,76.0,0.0,0.0,192.0,1.3157894736842106,2.526315789473684,1,-3.9874137870047988,-3.2195134196929502
AKs,44.0,352.0,47.0,100.0,47.0,50.0,1.0,4.0,88.0,2.0,7.04,2,-3.1776354858483864,2.206165379354651
AQs,42.0,336.0,47.0,100.0,47.0,50.0,3.0,12.0,28.0,2.0,6.72,2,-2.9219954528723298,2.0119815390616154
AJs,40.0,320.0,47.0,100.0,47.0,50.0,5.0,20.0,16.0,2.0,6.4,2,-2.666355419896273,1.817797698768579
ATs,38.0,304.0,47.0,100.0,47.0,50.0,7.0,28.0,10.857142857142858,2.0,6.08,2,-2.410715386920217,1.623613858475543
A9s,36.0,288.0,47.0,100.0,47.0,50.0,9.0,36.0,8.0,2.0,5.76,2,-2.1550753539441607,1.4294300181825075
A8s,34.0,272.0,47.0,100.0,47.0,50.0,11.0,44.0,6.181818181818182,2.0,5.44,2,-1.899435320968104,1.2352461778894717
A7s,32.0,256.0,47.0,100.0,47.0,50.0,13.0,52.0,4.923076923076923,2.0,5.12,2,-1.6437952879920472,1.0410623375964356
A6s,30.0,240.0,47.0,100.0,47.0,50.0,15.0,60.0,4.0,2.0,4.8,2,-1.388155255015991,0.8468784973033999
A5s,28.0,224.0,47.0,100.0,47.0,50.0,17.0,68.0,3.2941176470588234,2.0,4.48,2,-1.1325152220399346,0.6526946570103641
A4s,26.0,208.0,47.0,100.0,47.0,50.0,19.0,76.0,2.736842105263158,2.0,4.16,2,-0.8768751890638781,0.4585108167173282
A3s,24.0,192.0,47.0,100.0,47.0,50.0,21.0,84.0,2.2857142857142856,2.0,3.84,2,-0.6212351560878214,0.2643269764242923
A2s,22.0,176.0,47.0,100.0,47.0,50.0,23.0,92.0,1.9130434782608696,2.0,3.52,2,-0.365595123111765,0.07014313613125638
AKo,44.0,352.0,48.0,100.0,48.0,154.0,1.0,12.0,29.333333333333332,0.6493506493506493,2.2857142857142856,0,-2.576682974949365,2.73617749613593
KKo,22.0,176.0,25.0,100.0,25.0,76.0,0.0,0.0,176.0,1.3157894736842106,2.3157894736842106,1,-3.852746160595508,-3.4080210429837217
KQs,40.0,320.0,47.0,100.0,47.0,50.0,5.0,20.0,16.0,2.0,6.4,2,-2.666355419896273,1.817797698768579
KJs,38.0,304.0,47.0,100.0,47.0,50.0,7.0,28.0,10.857142857142858,2.0,6.08,2,-2.410715386920217,1.623613858475543
KTs,36.0,288.0,47.0,100.0,47.0,50.0,9.0,36.0,8.0,2.0,5.76,2,-2.1550753539441607,1.4294300181825075
K9s,34.0,272.0,47.0,100.0,47.0,50.0,11.0,44.0,6.181818181818182,2.0,5.44,2,-1.899435320968104,1.2352461778894717
K8s,32.0,256.0,47.0,100.0,47.0,50.0,13.0,52.0,4.923076923076923,2.0,5.12,2,-1.6437952879920472,1.0410623375964356
K7s,30.0,240.0,47.0,100.0,47.0,50.0,15.0,60.0,4.0,2.0,4.8,2,-1.388155255015991,0.8468784973033999
K6s,28.0,224.0,47.0,100.0,47.0,50.0,17.0,68.0,3.2941176470588234,2.0,4.48,2,-1.1325152220399346,0.6526946570103641
K5s,26.0,208.0,47.0,100.0,47.0,50.0,19.0,76.0,2.736842105263158,2.0,4.16,2,-0.8768751890638781,0.4585108167173282
K4s,24.0,192.0,47.0,100.0,47.0,50.0,21.0,84.0,2.2857142857142856,2.0,3.84,2,-0.6212351560878214,0.2643269764242923
K3s,22.0,176.0,47.0,100.0,47.0,50.0,23.0,92.0,1.9130434782608696,2.0,3.52,2,-0.365595123111765,0.07014313613125638
K2s,20.0,160.0,47.0,100.0,47.0,50.0,25.0,100.0,1.6,2.0,3.2,2,-0.10995509013570855,-0.12404070416177951
AQo,42.0,336.0,48.0,100.0,48.0,154.0,3.0,36.0,9.333333333333334,0.6493506493506493,2.1818181818181817,0,-2.261030298935489,2.546975001678877
KQo,40.0,320.0,48.0,100.0,48.0,154.0,5.0,60.0,5.333333333333333,0.6493506493506493,2.0779220779220777,0,-1.945377622921613,2.357772507221823
QQo,20.0,160.0,25.0,100.0,25.0,76.0,0.0,0.0,160.0,1.3157894736842106,2.1052631578947367,1,-3.718078534186216,-3.5965286662744926
QJs,36.0,288.0,47.0,100.0,47.0,50.0,9.0,36.0,8.0,2.0,5.76,2,-2.1550753539441607,1.4294300181825075
