hand,block_aa,block_kk,block_qq,block_ak,block_aq,prem_blocker_score,prem_blocker_score_norm,block_aa_score,block_kk_score
22o,0,0,0,0,0,0.0,0.0,0.0,0.0
32o,0,0,0,0,0,0.0,0.0,0.0,0.0
32s,0,0,0,0,0,0.0,0.0,0.0,0.0
33o,0,0,0,0,0,0.0,0.0,0.0,0.0
42o,0,0,0,0,0,0.0,0.0,0.0,0.0
42s,0,0,0,0,0,0.0,0.0,0.0,0.0
43o,0,0,0,0,0,0.0,0.0,0.0,0.0
43s,0,0,0,0,0,0.0,0.0,0.0,0.0
44o,0,0,0,0,0,0.0,0.0,0.0,0.0
52o,0,0,0,0,0,0.0,0.0,0.0,0.0
52s,0,0,0,0,0,0.0,0.0,0.0,0.0
53o,0,0,0,0,0,0.0,0.0,0.0,0.0
53s,0,0,0,0,0,0.0,0.0,0.0,0.0
54o,0,0,0,0,0,0.0,0.0,0.0,0.0
54s,0,0,0,0,0,0.0,0.0,0.0,0.0
55o,0,0,0,0,0,0.0,0.0,0.0,0.0
62o,0,0,0,0,0,0.0,0.0,0.0,0.0
62s,0,0,0,0,0,0.0,0.0,0.0,0.0
63o,0,0,0,0,0,0.0,0.0,0.0,0.0
63s,0,0,0,0,0,0.0,0.0,0.0,0.0
64o,0,0,0,0,0,0.0,0.0,0.0,0.0
64s,0,0,0,0,0,0.0,0.0,0.0,0.0
65o,0,0,0,0,0,0.0,0.0,0.0,0.0
65s,0,0,0,0,0,0.0,0.0,0.0,0.0
66o,0,0,0,0,0,0.0,0.0,0.0,0.0
72o,0,0,0,0,0,0.0,0.0,0.0,0.0
72s,0,0,0,0,0,0.0,0.0,0.0,0.0
73o,0,0,0,0,0,0.0,0.0,0.0,0.0
73s,0,0,0,0,0,0.0,0.0,0.0,0.0
74o,0,0,0,0,0,0.0,0.0,0.0,0.0
74s,0,0,0,0,0,0.0,0.0,0.0,0.0
75o,0,0,0,0,0,0.0,0.0,0.0,0.0
75s,0,0,0,0,0,0.0,0.0,0.0,0.0
76o,0,0,0,0,0,0.0,0.0,0.0,0.0
76s,0,0,0,0,0,0.0,0.0,0.0,0.0
77o,0,0,0,0,0,0.0,0.0,0.0,0.0
82o,0,0,0,0,0,0.0,0.0,0.0,0.0
82s,0,0,0,0,0,0.0,0.0,0.0,0.0
83o,0,0,0,0,0,0.0,0.0,0.0,0.0
83s,0,0,0,0,0,0.0,0.0,0.0,0.0
84o,0,0,0,0,0,0.0,0.0,0.0,0.0
84s,0,0,0,0,0,0.0,0.0,0.0,0.0
85o,0,0,0,0,0,0.0,0.0,0.0,0.0
85s,0,0,0,0,0,0.0,0.0,0.0,0.0
86o,0,0,0,0,0,0.0,0.0,0.0,0.0
86s,0,0,0,0,0,0.0,0.0,0.0,0.0
87o,0,0,0,0,0,0.0,0.0,0.0,0.0
87s,0,0,0,0,0,0.0,0.0,0.0,0.0
88o,0,0,0,0,0,0.0,0.0,0.0,0.0
92o,0,0,0,0,0,0.0,0.0,0.0,0.0
92s,0,0,0,0,0,0.0,0.0,0.0,0.0
93o,0,0,0,0,0,0.0,0.0,0.0,0.0
93s,0,0,0,0,0,0.0,0.0,0.0,0.0
94o,0,0,0,0,0,0.0,0.0,0.0,0.0
94s,0,0,0,0,0,0.0,0.0,0.0,0.0
95o,0,0,0,0,0,0.0,0.0,0.0,0.0
95s,0,0,0,0,0,0.0,0.0,0.0,0.0
96o,0,0,0,0,0,0.0,0.0,0.0,0.0
96s,0,0,0,0,0,0.0,0.0,0.0,0.0
97o,0,0,0,0,0,0.0,0.0,0.0,0.0
97s,0,0,0,0,0,0.0,0.0,0.0,0.0
98o,0,0,0,0,0,0.0,0.0,0.0,0.0
98s,0,0,0,0,0,0.0,0.0,0.0,0.0
99o,0,0,0,0,0,0.0,0.0,0.0,0.0
A2o,3,0,0,4,4,37.0,0.578125,0.75,0.0
A2s,3,0,0,4,4,37.0,0.578125,0.75,0.0
A3o,3,0,0,4,4,37.0,0.578125,0.75,0.0
A3s,3,0,0,4,4,37.0,0.578125,0.75,0.0
A4o,3,0,0,4,4,37.0,0.578125,0.75,0.0
A4s,3,0,0,4,4,37.0,0.578125,0.75,0.0
A5o,3,0,0,4,4,37.0,0.578125,0.75,0.0
A5s,3,0,0,4,4,37.0,0.578125,0.75,0.0
A6o,3,0,0,4,4,37.0,0.578125,0.75,0.0
A6s,3,0,0,4,4,37.0,0.578125,0.75,0.0
A7o,3,0,0,4,4,37.0,0.578125,0.75,0.0
A7s,3,0,0,4,4,37.0,0.578125,0.75,0.0
A8o,3,0,0,4,4,37.0,0.578125,0.75,0.0
A8s,3,0,0,4,4,37.0,0.578125,0.75,0.0
A9o,3,0,0,4,4,37.0,0.578125,0.75,0.0
A9s,3,0,0,4,4,37.0,0.578125,0.75,0.0
AAo,4,0,0,8,8,64.0,1.0,1.0,0.0
AJo,3,0,0,4,4,37.0,0.578125,0.75,0.0
AJs,3,0,0,4,4,37.0,0.578125,0.75,0.0
