hole_card1,hole_card2,hole_card_idx,flop_win_rate,turn_win_rate,river_win_rate
0,1,0,0.675,0.588,0.502
0,2,1,0.651,0.565,0.491
0,3,2,0.678,0.591,0.481
0,4,3,0.234,0.308,0.342
0,5,4,0.213,0.256,0.276
0,6,5,0.211,0.258,0.29
0,7,6,0.235,0.271,0.307
0,8,7,0.23,0.283,0.339
0,9,8,0.233,0.285,0.303
0,10,9,0.228,0.27,0.312
0,11,10,0.235,0.277,0.305
0,12,11,0.257,0.307,0.336
0,13,12,0.232,0.289,0.312
0,14,13,0.254,0.311,0.316
0,15,14,0.234,0.277,0.302
0,16,15,0.266,0.323,0.359
0,17,16,0.281,0.317,0.32
0,18,17,0.27,0.302,0.313
0,19,18,0.292,0.313,0.315
0,20,19,0.277,0.303,0.328
0,21,20,0.303,0.33,0.325
0,22,21,0.285,0.321,0.322
0,23,22,0.268,0.305,0.292
0,24,23,0.316,0.354,0.382
0,25,24,0.351,0.361,0.362
0,26,25,0.326,0.348,0.35
0,27,26,0.305,0.333,0.328
0,28,27,0.362,0.385,0.377
0,29,28,0.332,0.339,0.35
0,30,29,0.369,0.366,0.354
0,31,30,0.377,0.372,0.348
0,32,31,0.399,0.412,0.435
0,33,32,0.411,0.405,0.387
0,34,33,0.378,0.385,0.388
0,35,34,0.406,0.42,0.405
0,36,35,0.448,0.444,0.455
0,37,36,0.457,0.416,0.401
0,38,37,0.459,0.434,0.418
0,39,38,0.443,0.437,0.435
0,40,39,0.524,0.51,0.49
0,41,40,0.501,0.501,0.464
0,42,41,0.51,0.471,0.454
0,43,42,0.518,0.489,0.449
0,44,43,0.57,0.546,0.524
0,45,44,0.549,0.526,0.486
0,46,45,0.57,0.541,0.495
0,47,46,0.53,0.482,0.449
0,48,47,0.584,0.56,0.537
0,49,48,0.629,0.582,0.549
0,50,49,0.591,0.551,0.514
0,51,50,0.599,0.578,0.534
1,2,51,0.677,0.608,0.51
1,3,52,0.657,0.573,0.482
1,4,53,0.227,0.275,0.297
1,5,54,0.244,0.29,0.34
1,6,55,0.207,0.246,0.258
1,7,56,0.226,0.27,0.292
1,8,57,0.252,0.289,0.307
1,9,58,0.258,0.283,0.352
1,10,59,0.24,0.276,0.297
1,11,60,0.258,0.295,0.308
1,12,61,0.258,0.288,0.308
1,13,62,0.276,0.319,0.359
1,14,63,0.238,0.291,0.317
1,15,64,0.252,0.29,0.307
1,16,65,0.244,0.271,0.291
1,17,66,0.263,0.336,0.356
1,18,67,0.253,0.288,0.289
1,19,68,0.276,0.331,0.334
1,20,69,0.28,0.305,0.301
1,21,70,0.284,0.326,0.341
1,22,71,0.289,0.333,0.333
1,23,72,0.301,0.322,0.317
1,24,73,0.336,0.347,0.357
1,25,74,0.343,0.352,0.358
1,26,75,0.316,0.333,0.338
1,27,76,0.335,0.353,0.367
1,28,77,0.35,0.365,0.343
1,29,78,0.369,0.396,0.378
1,30,79,0.363,0.375,0.371
1,31,80,0.358,0.371,0.367
1,32,81,0.383,0.39,0.371
1,33,82,0.395,0.407,0.414
1,34,83,0.41,0.415,0.386
1,35,84,0.386,0.396,0.393
1,36,85,0.439,0.431,0.434
1,37,86,0.452,0.46,0.458
1,38,87,0.406,0.415,0.383
1,39,88,0.466,0.464,0.446
1,40,89,0.473,0.453,0.439
1,41,90,0.512,0.505,0.477
1,42,91,0.48,0.449,0.446
1,43,92,0.507,0.488,0.476
1,44,93,0.575,0.54,0.5
1,45,94,0.528,0.51,0.49
1,46,95,0.533,0.488,0.465
1,47,96,0.557,0.527,0.483
1,48,97,0.626,0.574,0.526
1,49,98,0.649,0.593,0.562
1,50,99,0.621,0.572,0.519
1,51,100,0.627,0.597,0.559
2,3,101,0.679,0.604,0.513
2,4,102,0.23,0.253,0.293
2,5,103,0.228,0.27,0.287
2,6,104,0.249,0.296,0.327
2,7,105,0.242,0.27,0.293
2,8,106,0.24,0.285,0.304
2,9,107,0.233,0.301,0.314
2,10,108,0.263,0.31,0.356
2,11,109,0.234,0.265,0.308
2,12,110,0.23,0.283,0.308
2,13,111,0.266,0.316,0.349
2,14,112,0.267,0.32,0.362
2,15,113,0.273,0.301,0.332
2,16,114,0.272,0.309,0.313
2,17,115,0.284,0.328,0.338
2,18,116,0.284,0.313,0.341
2,19,117,0.241,0.263,0.27
2,20,118,0.291,0.324,0.338
2,21,119,0.278,0.304,0.309
2,22,120,0.323,0.352,0.378
2,23,121,0.269,0.313,0.326
2,24,122,0.307,0.331,0.359
2,25,123,0.309,0.314,0.336
2,26,124,0.326,0.357,0.377
2,27,125,0.298,0.332,0.316
2,28,126,0.363,0.364,0.39
2,29,127,0.34,0.358,0.358
2,30,128,0.352,0.379,0.402
2,31,129,0.357,0.377,0.357
2,32,130,0.386,0.388,0.384
2,33,131,0.399,0.4,0.386
2,34,132,0.382,0.402,0.404
2,35,133,0.411,0.399,0.394
2,36,134,0.429,0.418,0.406
2,37,135,0.442,0.435,0.42
2,38,136,0.453,0.473,0.466
2,39,137,0.442,0.429,0.427
