,flop,suitedness,pairness,connectedness,high_low_texture,high_card,straightness
0,"('2s', '2h', '2c')",0.0,1.0,0.0,0.0,0.0,0.0
1,"('2s', '2h', '2d')",0.0,1.0,0.0,0.0,0.0,0.0
2,"('2s', '2h', '3s')",1.0,1.0,1.0,0.0,1.0,0.0
3,"('2s', '2h', '3h')",1.0,1.0,1.0,0.0,1.0,0.0
4,"('2s', '2h', '3c')",0.0,1.0,1.0,0.0,1.0,0.0
5,"('2s', '2h', '3d')",0.0,1.0,1.0,0.0,1.0,0.0
6,"('2s', '2h', '4s')",1.0,1.0,0.0,0.0,2.0,0.0
7,"('2s', '2h', '4h')",1.0,1.0,0.0,0.0,2.0,0.0
8,"('2s', '2h', '4c')",0.0,1.0,0.0,0.0,2.0,0.0
9,"('2s', '2h', '4d')",0.0,1.0,0.0,0.0,2.0,0.0
10,"('2s', '2h', '5s')",1.0,1.0,0.0,0.0,3.0,0.0
11,"('2s', '2h', '5h')",1.0,1.0,0.0,0.0,3.0,0.0
12,"('2s', '2h', '5c')",0.0,1.0,0.0,0.0,3.0,0.0
13,"('2s', '2h', '5d')",0.0,1.0,0.0,0.0,3.0,0.0
14,"('2s', '2h', '6s')",1.0,1.0,0.0,0.0,4.0,0.0
15,"('2s', '2h', '6h')",1.0,1.0,0.0,0.0,4.0,0.0
16,"('2s', '2h', '6c')",0.0,1.0,0.0,0.0,4.0,0.0
17,"('2s', '2h', '6d')",0.0,1.0,0.0,0.0,4.0,0.0
18,"('2s', '2h', '7s')",1.0,1.0,0.0,0.0,5.0,0.0
19,"('2s', '2h', '7h')",1.0,1.0,0.0,0.0,5.0,0.0
20,"('2s', '2h', '7c')",0.0,1.0,0.0,0.0,5.0,0.0
21,"('2s', '2h', '7d')",0.0,1.0,0.0,0.0,5.0,0.0
22,"('2s', '2h', '8s')",1.0,1.0,0.0,0.0,6.0,0.0
23,"('2s', '2h', '8h')",1.0,1.0,0.0,0.0,6.0,0.0
24,"('2s', '2h', '8c')",0.0,1.0,0.0,0.0,6.0,0.0
25,"('2s', '2h', '8d')",0.0,1.0,0.0,0.0,6.0,0.0
26,"('2s', '2h', '9s')",1.0,1.0,0.0,0.0,7.0,0.0
27,"('2s', '2h', '9h')",1.0,1.0,0.0,0.0,7.0,0.0
28,"('2s', '2h', '9c')",0.0,1.0,0.0,0.0,7.0,0.0
29,"('2s', '2h', '9d')",0.0,1.0,0.0,0.0,7.0,0.0
30,"('2s', '2h', 'Ts')",1.0,1.0,0.0,0.0,8.0,0.0
31,"('2s', '2h', 'Th')",1.0,1.0,0.0,0.0,8.0,0.0
32,"('2s', '2h', 'Tc')",0.0,1.0,0.0,0.0,8.0,0.0
33,"('2s', '2h', 'Td')",0.0,1.0,0.0,0.0,8.0,0.0
34,"('2s', '2h', 'Js')",1.0,1.0,0.0,0.0,9.0,0.0
35,"('2s', '2h', 'Jh')",1.0,1.0,0.0,0.0,9.0,0.0
36,"('2s', '2h', 'Jc')",0.0,1.0,0.0,0.0,9.0,0.0
37,"('2s', '2h', 'Jd')",0.0,1.0,0.0,0.0,9.0,0.0
38,"('2s', '2h', 'Qs')",1.0,1.0,0.0,0.0,10.0,0.0
39,"('2s', '2h', 'Qh')",1.0,1.0,0.0,0.0,10.0,0.0
40,"('2s', '2h', 'Qc')",0.0,1.0,0.0,0.0,10.0,0.0
41,"('2s', '2h', 'Qd')",0.0,1.0,0.0,0.0,10.0,0.0
42,"('2s', '2h', 'Ks')",1.0,1.0,0.0,0.0,11.0,0.0
43,"('2s', '2h', 'Kh')",1.0,1.0,0.0,0.0,11.0,0.0
44,"('2s', '2h', 'Kc')",0.0,1.0,0.0,0.0,11.0,0.0
45,"('2s', '2h', 'Kd')",0.0,1.0,0.0,0.0,11.0,0.0
46,"('2s', '2h', 'As')",1.0,1.0,1.0,0.0,12.0,0.0
47,"('2s', '2h', 'Ah')",1.0,1.0,1.0,0.0,12.0,0.0
48,"('2s', '2h', 'Ac')",0.0,1.0,1.0,0.0,12.0,0.0
49,"('2s', '2h', 'Ad')",0.0,1.0,1.0,0.0,12.0,0.0
50,"('2s', '2c', '2d')",0.0,1.0,0.0,0.0,0.0,0.0
51,"('2s', '2c', '3s')",1.0,1.0,1.0,0.0,1.0,0.0
52,"('2s', '2c', '3h')",0.0,1.0,1.0,0.0,1.0,0.0
53,"('2s', '2c', '3c')",1.0,1.0,1.0,0.0,1.0,0.0
54,"('2s', '2c', '3d')",0.0,1.0,1.0,0.0,1.0,0.0
55,"('2s', '2c', '4s')",1.0,1.0,0.0,0.0,2.0,0.0
56,"('2s', '2c', '4h')",0.0,1.0,0.0,0.0,2.0,0.0
57,"('2s', '2c', '4c')",1.0,1.0,0.0,0.0,2.0,0.0
58,"('2s', '2c', '4d')",0.0,1.0,0.0,0.0,2.0,0.0
59,"('2s', '2c', '5s')",1.0,1.0,0.0,0.0,3.0,0.0
60,"('2s', '2c', '5h')",0.0,1.0,0.0,0.0,3.0,0.0
61,"('2s', '2c', '5c')",1.0,1.0,0.0,0.0,3.0,0.0
62,"('2s', '2c', '5d')",0.0,1.0,0.0,0.0,3.0,0.0
63,"('2s', '2c', '6s')",1.0,1.0,0.0,0.0,4.0,0.0
64,"('2s', '2c', '6h')",0.0,1.0,0.0,0.0,4.0,0.0
65,"('2s', '2c', '6c')",1.0,1.0,0.0,0.0,4.0,0.0
66,"('2s', '2c', '6d')",0.0,1.0,0.0,0.0,4.0,0.0
67,"('2s', '2c', '7s')",1.0,1.0,0.0,0.0,5.0,0.0
68,"('2s', '2c', '7h')",0.0,1.0,0.0,0.0,5.0,0.0
69,"('2s', '2c', '7c')",1.0,1.0,0.0,0.0,5.0,0.0
70,"('2s', '2c', '7d')",0.0,1.0,0.0,0.0,5.0,0.0
71,"('2s', '2c', '8s')",1.0,1.0,0.0,0.0,6.0,0.0
72,"('2s', '2c', '8h')",0.0,1.0,0.0,0.0,6.0,0.0
73,"('2s', '2c', '8c')",1.0,1.0,0.0,0.0,6.0,0.0
74,"('2s', '2c', '8d')",0.0,1.0,0.0,0.0,6.0,0.0
75,"('2s', '2c', '9s')",1.0,1.0,0.0,0.0,7.0,0.0
76,"('2s', '2c', '9h')",0.0,1.0,0.0,0.0,7.0,0.0
77,"('2s', '2c', '9c')",1.0,1.0,0.0,0.0,7.0,0.0
78,"('2s', '2c', '9d')",0.0,1.0,0.0,0.0,7.0,0.0
79,"('2s', '2c', 'Ts')",1.0,1.0,0.0,0.0,8.0,0.0
80,"('2s', '2c', 'Th')",0.0,1.0,0.0,0.0,8.0,0.0
81,"('2s', '2c', 'Tc')",1.0,1.0,0.0,0.0,8.0,0.0
82,"('2s', '2c', 'Td')",0.0,1.0,0.0,0.0,8.0,0.0
83,"('2s', '2c', 'Js')",1.0,1.0,0.0,0.0,9.0,0.0
84,"('2s', '2c', 'Jh')",0.0,1.0,0.0,0.0,9.0,0.0
85,"('2s', '2c', 'Jc')",1.0,1.0,0.0,0.0,9.0,0.0
86,"('2s', '2c', 'Jd')",0.0,1.0,0.0,0.0,9.0,0.0
87,"('2s', '2c', 'Qs')",1.0,1.0,0.0,0.0,10.0,0.0
88,"('2s', '2c', 'Qh')",0.0,1.0,0.0,0.0,10.0,0.0
89,"('2s', '2c', 'Qc')",1.0,1.0,0.0,0.0,10.0,0.0
90,"('2s', '2c', 'Qd')",0.0,1.0,0.0,0.0,10.0,0.0
91,"('2s', '2c', 'Ks')",1.0,1.0,0.0,0.0,11.0,0.0
92,"('2s', '2c', 'Kh')",0.0,1.0,0.0,0.0,11.0,0.0
93,"('2s', '2c', 'Kc')",1.0,1.0,0.0,0.0,11.0,0.0
94,"('2s', '2c', 'Kd')",0.0,1.0,0.0,0.0,11.0,0.0
95,"('2s', '2c', 'As')",1.0,1.0,1.0,0.0,12.0,0.0
96,"('2s', '2c', 'Ah')",0.0,1.0,1.0,0.0,12.0,0.0
97,"('2s', '2c', 'Ac')",1.0,1.0,1.0,0.0,12.0,0.0
98,"('2s', '2c', 'Ad')",0.0,1.0,1.0,0.0,12.0,0.0
99,"('2s', '2d', '3s')",1.0,1.0,1.0,0.0,1.0,0.0
100,"('2s', '2d', '3h')",0.0,1.0,1.0,0.0,1.0,0.0
101,"('2s', '2d', '3c')",0.0,1.0,1.0,0.0,1.0,0.0
102,"('2s', '2d', '3d')",1.0,1.0,1.0,0.0,1.0,0.0
103,"('2s', '2d', '4s')",1.0,1.0,0.0,0.0,2.0,0.0
104,"('2s', '2d', '4h')",0.0,1.0,0.0,0.0,2.0,0.0
105,"('2s', '2d', '4c')",0.0,1.0,0.0,0.0,2.0,0.0
106,"('2s', '2d', '4d')",1.0,1.0,0.0,0.0,2.0,0.0
107,"('2s', '2d', '5s')",1.0,1.0,0.0,0.0,3.0,0.0
108,"('2s', '2d', '5h')",0.0,1.0,0.0,0.0,3.0,0.0
109,"('2s', '2d', '5c')",0.0,1.0,0.0,0.0,3.0,0.0
110,"('2s', '2d', '5d')",1.0,1.0,0.0,0.0,3.0,0.0
111,"('2s', '2d', '6s')",1.0,1.0,0.0,0.0,4.0,0.0
112,"('2s', '2d', '6h')",0.0,1.0,0.0,0.0,4.0,0.0
113,"('2s', '2d', '6c')",0.0,1.0,0.0,0.0,4.0,0.0
114,"('2s', '2d', '6d')",1.0,1.0,0.0,0.0,4.0,0.0
115,"('2s', '2d', '7s')",1.0,1.0,0.0,0.0,5.0,0.0
116,"('2s', '2d', '7h')",0.0,1.0,0.0,0.0,5.0,0.0
117,"('2s', '2d', '7c')",0.0,1.0,0.0,0.0,5.0,0.0
118,"('2s', '2d', '7d')",1.0,1.0,0.0,0.0,5.0,0.0
119,"('2s', '2d', '8s')",1.0,1.0,0.0,0.0,6.0,0.0
120,"('2s', '2d', '8h')",0.0,1.0,0.0,0.0,6.0,0.0
121,"('2s', '2d', '8c')",0.0,1.0,0.0,0.0,6.0,0.0
122,"('2s', '2d', '8d')",1.0,1.0,0.0,0.0,6.0,0.0
123,"('2s', '2d', '9s')",1.0,1.0,0.0,0.0,7.0,0.0
124,"('2s', '2d', '9h')",0.0,1.0,0.0,0.0,7.0,0.0
125,"('2s', '2d', '9c')",0.0,1.0,0.0,0.0,7.0,0.0
126,"('2s', '2d', '9d')",1.0,1.0,0.0,0.0,7.0,0.0
127,"('2s', '2d', 'Ts')",1.0,1.0,0.0,0.0,8.0,0.0
128,"('2s', '2d', 'Th')",0.0,1.0,0.0,0.0,8.0,0.0
129,"('2s', '2d', 'Tc')",0.0,1.0,0.0,0.0,8.0,0.0
130,"('2s', '2d', 'Td')",1.0,1.0,0.0,0.0,8.0,0.0
131,"('2s', '2d', 'Js')",1.0,1.0,0.0,0.0,9.0,0.0
132,"('2s', '2d', 'Jh')",0.0,1.0,0.0,0.0,9.0,0.0
133,"('2s', '2d', 'Jc')",0.0,1.0,0.0,0.0,9.0,0.0
134,"('2s', '2d', 'Jd')",1.0,1.0,0.0,0.0,9.0,0.0
135,"('2s', '2d', 'Qs')",1.0,1.0,0.0,0.0,10.0,0.0
136,"('2s', '2d', 'Qh')",0.0,1.0,0.0,0.0,10.0,0.0
137,"('2s', '2d', 'Qc')",0.0,1.0,0.0,0.0,10.0,0.0
138,"('2s', '2d', 'Qd')",1.0,1.0,0.0,0.0,10.0,0.0
139,"('2s', '2d', 'Ks')",1.0,1.0,0.0,0.0,11.0,0.0
140,"('2s', '2d', 'Kh')",0.0,1.0,0.0,0.0,11.0,0.0
141,"('2s', '2d', 'Kc')",0.0,1.0,0.0,0.0,11.0,0.0
142,"('2s', '2d', 'Kd')",1.0,1.0,0.0,0.0,11.0,0.0
143,"('2s', '2d', 'As')",1.0,1.0,1.0,0.0,12.0,0.0
144,"('2s', '2d', 'Ah')",0.0,1.0,1.0,0.0,12.0,0.0
145,"('2s', '2d', 'Ac')",0.0,1.0,1.0,0.0,12.0,0.0
146,"('2s', '2d', 'Ad')",1.0,1.0,1.0,0.0,12.0,0.0
147,"('2s', '3s', '3h')",1.0,1.0,1.0,0.0,1.0,0.0
148,"('2s', '3s', '3c')",1.0,1.0,1.0,0.0,1.0,0.0
149,"('2s', '3s', '3d')",1.0,1.0,1.0,0.0,1.0,0.0
150,"('2s', '3s', '4s')",2.0,0.0,2.0,0.0,2.0,2.0
151,"('2s', '3s', '4h')",1.0,0.0,2.0,0.0,2.0,2.0
152,"('2s', '3s', '4c')",1.0,0.0,2.0,0.0,2.0,2.0
153,"('2s', '3s', '4d')",1.0,0.0,2.0,0.0,2.0,2.0
154,"('2s', '3s', '5s')",2.0,0.0,1.0,0.0,3.0,2.0
155,"('2s', '3s', '5h')",1.0,0.0,1.0,0.0,3.0,2.0
156,"('2s', '3s', '5c')",1.0,0.0,1.0,0.0,3.0,2.0
157,"('2s', '3s', '5d')",1.0,0.0,1.0,0.0,3.0,2.0
158,"('2s', '3s', '6s')",2.0,0.0,1.0,0.0,4.0,1.0
159,"('2s', '3s', '6h')",1.0,0.0,1.0,0.0,4.0,1.0
160,"('2s', '3s', '6c')",1.0,0.0,1.0,0.0,4.0,1.0
161,"('2s', '3s', '6d')",1.0,0.0,1.0,0.0,4.0,1.0
162,"('2s', '3s', '7s')",2.0,0.0,1.0,0.0,5.0,0.0
163,"('2s', '3s', '7h')",1.0,0.0,1.0,0.0,5.0,0.0
164,"('2s', '3s', '7c')",1.0,0.0,1.0,0.0,5.0,0.0
165,"('2s', '3s', '7d')",1.0,0.0,1.0,0.0,5.0,0.0
166,"('2s', '3s', '8s')",2.0,0.0,1.0,0.0,6.0,0.0
167,"('2s', '3s', '8h')",1.0,0.0,1.0,0.0,6.0,0.0
168,"('2s', '3s', '8c')",1.0,0.0,1.0,0.0,6.0,0.0
169,"('2s', '3s', '8d')",1.0,0.0,1.0,0.0,6.0,0.0
170,"('2s', '3s', '9s')",2.0,0.0,1.0,0.0,7.0,0.0
171,"('2s', '3s', '9h')",1.0,0.0,1.0,0.0,7.0,0.0
172,"('2s', '3s', '9c')",1.0,0.0,1.0,0.0,7.0,0.0
173,"('2s', '3s', '9d')",1.0,0.0,1.0,0.0,7.0,0.0
174,"('2s', '3s', 'Ts')",2.0,0.0,1.0,0.0,8.0,0.0
175,"('2s', '3s', 'Th')",1.0,0.0,1.0,0.0,8.0,0.0
176,"('2s', '3s', 'Tc')",1.0,0.0,1.0,0.0,8.0,0.0
177,"('2s', '3s', 'Td')",1.0,0.0,1.0,0.0,8.0,0.0
178,"('2s', '3s', 'Js')",2.0,0.0,1.0,0.0,9.0,0.0
179,"('2s', '3s', 'Jh')",1.0,0.0,1.0,0.0,9.0,0.0
180,"('2s', '3s', 'Jc')",1.0,0.0,1.0,0.0,9.0,0.0
181,"('2s', '3s', 'Jd')",1.0,0.0,1.0,0.0,9.0,0.0
182,"('2s', '3s', 'Qs')",2.0,0.0,1.0,0.0,10.0,0.0
183,"('2s', '3s', 'Qh')",1.0,0.0,1.0,0.0,10.0,0.0
184,"('2s', '3s', 'Qc')",1.0,0.0,1.0,0.0,10.0,0.0
185,"('2s', '3s', 'Qd')",1.0,0.0,1.0,0.0,10.0,0.0
186,"('2s', '3s', 'Ks')",2.0,0.0,1.0,0.0,11.0,0.0
187,"('2s', '3s', 'Kh')",1.0,0.0,1.0,0.0,11.0,0.0
188,"('2s', '3s', 'Kc')",1.0,0.0,1.0,0.0,11.0,0.0
189,"('2s', '3s', 'Kd')",1.0,0.0,1.0,0.0,11.0,0.0
190,"('2s', '3s', 'As')",2.0,0.0,2.0,0.0,12.0,1.0
191,"('2s', '3s', 'Ah')",1.0,0.0,2.0,0.0,12.0,1.0
192,"('2s', '3s', 'Ac')",1.0,0.0,2.0,0.0,12.0,1.0
193,"('2s', '3s', 'Ad')",1.0,0.0,2.0,0.0,12.0,1.0
194,"('2s', '3h', '3c')",0.0,1.0,1.0,0.0,1.0,0.0
195,"('2s', '3h', '3d')",0.0,1.0,1.0,0.0,1.0,0.0
196,"('2s', '3h', '4s')",1.0,0.0,2.0,0.0,2.0,2.0
197,"('2s', '3h', '4h')",1.0,0.0,2.0,0.0,2.0,2.0
198,"('2s', '3h', '4c')",0.0,0.0,2.0,0.0,2.0,2.0
199,"('2s', '3h', '4d')",0.0,0.0,2.0,0.0,2.0,2.0
200,"('2s', '3h', '5s')",1.0,0.0,1.0,0.0,3.0,2.0
201,"('2s', '3h', '5h')",1.0,0.0,1.0,0.0,3.0,2.0
202,"('2s', '3h', '5c')",0.0,0.0,1.0,0.0,3.0,2.0
203,"('2s', '3h', '5d')",0.0,0.0,1.0,0.0,3.0,2.0
204,"('2s', '3h', '6s')",1.0,0.0,1.0,0.0,4.0,1.0
205,"('2s', '3h', '6h')",1.0,0.0,1.0,0.0,4.0,1.0
206,"('2s', '3h', '6c')",0.0,0.0,1.0,0.0,4.0,1.0
207,"('2s', '3h', '6d')",0.0,0.0,1.0,0.0,4.0,1.0
208,"('2s', '3h', '7s')",1.0,0.0,1.0,0.0,5.0,0.0
209,"('2s', '3h', '7h')",1.0,0.0,1.0,0.0,5.0,0.0
210,"('2s', '3h', '7c')",0.0,0.0,1.0,0.0,5.0,0.0
211,"('2s', '3h', '7d')",0.0,0.0,1.0,0.0,5.0,0.0
212,"('2s', '3h', '8s')",1.0,0.0,1.0,0.0,6.0,0.0
213,"('2s', '3h', '8h')",1.0,0.0,1.0,0.0,6.0,0.0
214,"('2s', '3h', '8c')",0.0,0.0,1.0,0.0,6.0,0.0
215,"('2s', '3h', '8d')",0.0,0.0,1.0,0.0,6.0,0.0
216,"('2s', '3h', '9s')",1.0,0.0,1.0,0.0,7.0,0.0
217,"('2s', '3h', '9h')",1.0,0.0,1.0,0.0,7.0,0.0
218,"('2s', '3h', '9c')",0.0,0.0,1.0,0.0,7.0,0.0
219,"('2s', '3h', '9d')",0.0,0.0,1.0,0.0,7.0,0.0
220,"('2s', '3h', 'Ts')",1.0,0.0,1.0,0.0,8.0,0.0
