hand,22o,32o,32s,33o,42o,42s,43o,43s,44o,52o,52s,53o,53s,54o,54s,55o,62o,62s,63o,63s,64o,64s,65o,65s,66o,72o,72s,73o,73s,74o,74s,75o,75s,76o,76s,77o,82o,82s,83o,83s,84o,84s,85o,85s,86o,86s,87o,87s,88o,92o,92s,93o,93s,94o,94s,95o,95s,96o,96s,97o,97s,98o,98s,99o,A2o,A2s,A3o,A3s,A4o,A4s,A5o,A5s,A6o,A6s,A7o,A7s,A8o,A8s,A9o,A9s,AAo,AJo,AJs,AKo,AKs,AQo,AQs,ATo,ATs,J2o,J2s,J3o,J3s,J4o,J4s,J5o,J5s,J6o,J6s,J7o,J7s,J8o,J8s,J9o,J9s,JJo,JTo,JTs,K2o,K2s,K3o,K3s,K4o,K4s,K5o,K5s,K6o,K6s,K7o,K7s,K8o,K8s,K9o,K9s,KJo,KJs,KKo,KQo,KQs,KTo,KTs,Q2o,Q2s,Q3o,Q3s,Q4o,Q4s,Q5o,Q5s,Q6o,Q6s,Q7o,Q7s,Q8o,Q8s,Q9o,Q9s,QJo,QJs,QQo,QTo,QTs,T2o,T2s,T3o,T3s,T4o,T4s,T5o,T5s,T6o,T6s,T7o,T7s,T8o,T8s,T9o,T9s,TTo
22o,1.0,0.76211536,0.7527025,0.8995942,0.7739402,0.7566145,0.70353043,0.68196315,0.75201553,0.74746484,0.70813346,0.7188987,0.673595,0.65132093,0.56745434,0.61197793,0.71248233,0.68599856,0.59890777,0.56681496,0.6156154,0.5749053,0.5851417,0.5074992,0.5203617,0.6677567,0.65519,0.5775595,0.5633082,0.48491198,0.48678985,0.5407933,0.50698775,0.4477836,0.4044209,0.41062573,0.63444465,0.62442243,0.5172638,0.5155973,0.4685235,0.4685224,0.43169013,0.41883817,0.43249327,0.3956638,0.32227,0.28295508,0.3733874,0.6080868,0.59463626,0.48188996,0.4675048,0.45527962,0.4444697,0.4241632,0.4279378,0.40619242,0.4046249,0.36666524,0.34757617,0.3524655,0.34961623,0.36235067,0.48027167,0.37308222,0.33149332,0.23945045,0.23557921,0.18088953,0.26416367,0.13264498,0.30442786,0.1784793,0.27054247,0.13641603,0.30958998,0.15585938,0.2977473,0.14992714,0.24235934,0.23722228,0.1769537,0.25700796,0.17816247,0.28962508,0.19875278,0.25851056,0.13795052,0.52456135,0.4726338,0.41409728,0.3811943,0.32153833,0.2766965,0.3147805,0.27405146,0.34870324,0.29007682,0.31866086,0.23105314,0.29645818,0.26109412,0.33909795,0.25961512,0.29412082,0.2017669,0.14241941,0.45983866,0.43024218,0.35144258,0.29125124,0.27414414,0.2132688,0.2832494,0.26132342,0.29702842,0.24126622,0.31059167,0.20179622,0.34403086,0.26786572,0.36085337,0.26366383,0.32661647,0.23200528,0.25034064,0.25662127,0.14314906,0.30105436,0.25533372,0.5520105,0.4980812,0.46649086,0.41847974,0.33659956,0.30611432,0.39062792,0.33326158,0.40961346,0.34585068,0.37530255,0.31288016,0.3471375,0.28783467,0.31771636,0.27149168,0.18012357,0.11903266,0.25917035,0.2656436,0.15999699,0.5643691,0.51213855,0.4731279,0.4408815,0.39460346,0.40512422,0.41461965,0.3870062,0.39284903,0.36883906,0.31352744,0.2631696,0.37716216,0.2877263,0.2584064,0.2387017,0.33878273
32o,0.76211536,1.0000002,0.8746194,0.6523342,0.9693857,0.8441986,0.9558426,0.8121703,0.4208101,0.9672967,0.81173176,0.9237277,0.77085745,0.8592831,0.6574478,0.27953827,0.94131976,0.8094771,0.8671177,0.71053964,0.811252,0.65630144,0.793126,0.5953754,0.25051925,0.89449626,0.7616008,0.8435911,0.71792847,0.7272918,0.59068024,0.7158849,0.5847768,0.68393636,0.54405665,0.2114298,0.83931,0.7024172,0.7747546,0.6555328,0.6927563,0.5761173,0.624695,0.4787984,0.622628,0.48200473,0.5642439,0.4173852,0.15505128,0.80513597,0.65385556,0.71808654,0.5706498,0.68058896,0.5360564,0.59992427,0.468655,0.6115437,0.47107592,0.5419796,0.39543015,0.486661,0.33783332,0.14826645,0.5199637,0.2743436,0.37731764,0.17734726,0.2637066,0.09833602,0.3101344,0.037190516,0.34471777,0.09014998,0.29114056,0.053472888,0.3169379,0.073934995,0.31473035,0.073482886,0.11737676,0.22950432,0.10490654,0.2497201,0.11268738,0.2633292,0.10646177,0.2674027,0.069426954,0.66064876,0.481061,0.56377876,0.42682943,0.44014716,0.28665784,0.40093073,0.23400995,0.43493184,0.28684786,0.40031493,0.20914325,0.34106427,0.22886884,0.38511154,0.22327746,0.11676484,0.29406884,0.12303089,0.5535224,0.41352654,0.47217163,0.30317113,0.34276605,0.16714303,0.36973023,0.21703751,0.37953064,0.19711155,0.37965828,0.1668344,0.3886485,0.18632612,0.41590416,0.20705043,0.32782236,0.15387869,0.121063404,0.2932366,0.100664705,0.35402876,0.23084438,0.6327532,0.44093487,0.556687,0.38838908,0.41339597,0.2560238,0.41910022,0.21679138,0.45770544,0.2636284,0.43655732,0.23734954,0.3576125,0.16325939,0.35688052,0.19266137,0.22334453,0.06394089,0.09727401,0.27227134,0.08259036,0.73329276,0.56500536,0.66950697,0.5205111,0.5884,0.44727814,0.5630959,0.41131538,0.5516063,0.40973774,0.46187866,0.29298764,0.4230658,0.26488787,0.34307772,0.19544017,0.17636977
32s,0.7527025,0.8746194,0.99999994,0.6510476,0.84163105,0.94818866,0.8301384,0.95021784,0.43022412,0.8398621,0.9226733,0.79344183,0.88214564,0.7324109,0.8289344,0.30571896,0.8166831,0.9120582,0.7504992,0.82312906,0.68590504,0.79717124,0.6647657,0.76502174,0.25965437,0.77447593,0.863126,0.72235996,0.8154001,0.6119083,0.7268303,0.5869038,0.72642076,0.5424714,0.6953166,0.19099507,0.7204071,0.80942655,0.6523361,0.7476889,0.5677147,0.696333,0.4836963,0.60673213,0.47531092,0.6060957,0.39608675,0.55860615,0.14393204,0.6908319,0.7570469,0.6045775,0.67209667,0.5533179,0.63927585,0.4738542,0.58994013,0.4787436,0.6012165,0.39141122,0.4960001,0.3075183,0.46012244,0.15508035,0.43628603,0.4103692,0.32358143,0.29739374,0.19371173,0.21340871,0.24871172,0.17452307,0.29565805,0.20823401,0.23992652,0.15370268,0.271152,0.17871974,0.29351208,0.18236457,0.12563778,0.205487,0.20670292,0.22678627,0.20364158,0.23780324,0.20002316,0.24195938,0.18014358,0.5238254,0.55533415,0.44971564,0.5023181,0.30905336,0.35200748,0.27641517,0.3078282,0.30935565,0.36286396,0.2523922,0.26737896,0.18726704,0.29603684,0.23685311,0.285292,0.115234494,0.17263554,0.22434871,0.44193232,0.49652064,0.3789238,0.3957443,0.23812975,0.24221982,0.2621153,0.3065338,0.28166693,0.28079137,0.26466376,0.24935988,0.2529409,0.26549247,0.3114453,0.29694736,0.22870138,0.2365362,0.12867132,0.22254989,0.20361626,0.2757679,0.32515866,0.5295224,0.5306541,0.46398538,0.48188892,0.30711275,0.33950734,0.32984957,0.3390397,0.36276,0.36537322,0.31906122,0.33066624,0.24902748,0.2631363,0.2561508,0.29091853,0.14325967,0.18497418,0.10869665,0.18063563,0.16689242,0.62178135,0.66129154,0.57024086,0.6190556,0.4654372,0.5381826,0.44437596,0.51011723,0.4333739,0.50722605,0.32601425,0.37666184,0.253405,0.30904022,0.2039104,0.2954244,0.18431798
33o,0.8995942,0.6523342,0.6510476,1.0,0.70104825,0.6922527,0.68190116,0.6721348,0.8735586,0.65890867,0.6393301,0.7172067,0.69025415,0.66048396,0.6056841,0.7249947,0.63361114,0.6195889,0.6380929,0.6220439,0.65962315,0.62918717,0.56876975,0.5159077,0.6242387,0.5917733,0.5940049,0.62508506,0.6328097,0.53969795,0.5586689,0.54874766,0.5332846,0.46901584,0.44220102,0.5382634,0.5811511,0.5803077,0.59703255,0.608092,0.5386835,0.5538114,0.45422494,0.46535727,0.4690617,0.45358923,0.37624425,0.3741571,0.49047005,0.55901706,0.56319124,0.5788183,0.5937717,0.5150731,0.53120285,0.45814896,0.47887874,0.4547936,0.48059487,0.44149932,0.44665965,0.39155546,0.4035974,0.46027577,0.38445002,0.30775708,0.380138,0.34116006,0.2477937,0.23210779,0.26134813,0.16122282,0.26046807,0.18129686,0.25699967,0.17238714,0.29762638,0.18675572,0.2928084,0.1814392,0.26987275,0.24980876,0.21088411,0.2680566,0.19163124,0.2999128,0.2232232,0.2722744,0.17230588,0.4921235,0.46214935,0.52513105,0.5132744,0.3772806,0.3542797,0.36848196,0.339888,0.38560215,0.344174,0.3722788,0.31172192,0.32631183,0.31870082,0.36642954,0.3111551,0.35471225,0.20698102,0.168677,0.41092014,0.38157177,0.43062785,0.39652875,0.31377175,0.27141094,0.318179,0.29113257,0.3083049,0.26915497,0.3332265,0.24070959,0.33818343,0.26577583,0.33484164,0.26705018,0.32574165,0.23888224,0.28118587,0.24230294,0.15428945,0.29045996,0.26712218,0.49218953,0.45619547,0.54543144,0.52082086,0.36432385,0.35169795,0.4221367,0.38325122,0.4129756,0.38615802,0.40162095,0.35778442,0.3407025,0.29672453,0.3163652,0.2795145,0.18041793,0.1330912,0.30938748,0.26813626,0.19096443,0.51729846,0.4810418,0.566766,0.557334,0.44767696,0.47289538,0.45094287,0.444282,0.41927215,0.41300854,0.37925887,0.358082,0.41446343,0.36270025,0.29384124,0.29356033,0.42457354
42o,0.7739402,0.9693857,0.84163105,0.70104825,0.99999994,0.8737158,0.96132445,0.8153959,0.46559894,0.9642321,0.8039397,0.94949603,0.8018881,0.8899172,0.67661166,0.29734963,0.9314797,0.8037736,0.86489236,0.7054165,0.85400975,0.6967527,0.7717623,0.5684203,0.24657154,0.88108695,0.7517673,0.84449893,0.7203411,0.74507695,0.6066755,0.7197223,0.5838856,0.6473119,0.49472052,0.21559227,0.8382794,0.7050363,0.7901924,0.6738306,0.7164405,0.60645604,0.6161823,0.4726254,0.62186545,0.47952104,0.54362833,0.37970692,0.14835168,0.7881931,0.6487358,0.72896606,0.5873827,0.68163174,0.54734796,0.5818293,0.44871023,0.5675843,0.4272949,0.53463113,0.3785482,0.4489875,0.28374678,0.12967643,0.52784294,0.27885067,0.41585177,0.2207981,0.2717489,0.09550074,0.29553053,0.02405188,0.3211273,0.07339615,0.27204674,0.034006022,0.28149897,0.042459592,0.27679753,0.04433328,0.088043205,0.19802499,0.06921287,0.20313343,0.075608104,0.23429891,0.08450017,0.24079674,0.043115523,0.6657862,0.47752497,0.59169567,0.4487201,0.4502167,0.29422727,0.39794874,0.22507226,0.40383032,0.2522377,0.3771976,0.18426436,0.30465072,0.20445679,0.370745,0.21125442,0.088526234,0.24991277,0.08773981,0.5788807,0.42310667,0.5209673,0.34424174,0.3743518,0.20063531,0.38536817,0.22079924,0.37345922,0.18122879,0.37603098,0.14096025,0.3791581,0.14986092,0.39519978,0.1740356,0.31218192,0.13152587,0.08633612,0.24428856,0.051878028,0.31072915,0.17482762,0.6396755,0.44827864,0.5935838,0.42272395,0.4172987,0.2755275,0.41921186,0.21870069,0.41872737,0.22454867,0.41298297,0.20218047,0.31923664,0.12716137,0.316104,0.14563727,0.17676882,0.026207604,0.06281207,0.24827908,0.061509285,0.721441,0.5474157,0.68135613,0.52854854,0.5849281,0.44685408,0.5497913,0.39155158,0.509248,0.35093167,0.42103204,0.24246839,0.40546516,0.24003844,0.28798234,0.13977039,0.1496675
42s,0.7566145,0.8441986,0.94818866,0.6922527,0.8737158,1.0000002,0.83716506,0.9312434,0.45752227,0.8378333,0.91876346,0.822211,0.93699014,0.7659159,0.8156265,0.30936775,0.79826844,0.8973754,0.74022067,0.80880624,0.7197529,0.8448206,0.6311066,0.6961295,0.24398756,0.74936044,0.83929616,0.7151342,0.80908614,0.6142578,0.7254492,0.5667092,0.7226816,0.4783607,0.5954027,0.1945395,0.6974796,0.7905809,0.6510578,0.7488567,0.5680989,0.70450425,0.44141856,0.56948894,0.4398448,0.5891065,0.34945577,0.4742358,0.14594163,0.6551908,0.7334445,0.5994599,0.6743501,0.5433024,0.6378285,0.4276352,0.5469686,0.4057438,0.52712774,0.37217495,0.4939979,0.28604546,0.4046679,0.14887904,0.45025727,0.41302428,0.36267287,0.34703973,0.21301712,0.21449316,0.22877713,0.1606819,0.27415612,0.19441916,0.2227941,0.141149,0.23680675,0.15737611,0.25481313,0.15365289,0.09834338,0.14631823,0.15320194,0.15955994,0.14454803,0.18793611,0.16945265,0.1949642,0.14602843,0.5254245,0.5516983,0.46864492,0.5314325,0.31360573,0.37339705,0.24648783,0.28386,0.2644786,0.32579425,0.22657852,0.25512528,0.1629055,0.2793135,0.23152038,0.29568514,0.08146147,0.12645955,0.17479876,0.47303784,0.5123565,0.43247992,0.44359106,0.26398677,0.2719545,0.2438089,0.28418213,0.26792675,0.25840366,0.2705382,0.23523672,0.26394257,0.24549617,0.3108113,0.2736297,0.20415503,0.21561292,0.089008994,0.16132064,0.1440952,0.231281,0.26562715,0.5353592,0.539983,0.5061309,0.5220831,0.30877647,0.35960165,0.2944193,0.31641635,0.30984607,0.31041515,0.30477217,0.30395812,0.21440323,0.23094273,0.23307954,0.25784373,0.0846702,0.13346568,0.075092204,0.15440914,0.17207608,0.60470337,0.63410175,0.57293737,0.6212565,0.46508202,0.5432695,0.4097673,0.4722077,0.3730504,0.43910003,0.2816738,0.32879364,0.25796005,0.33553156,0.17580096,0.24688074,0.16282867
43o,0.70353043,0.9558426,0.8301384,0.68190116,0.96132445,0.83716506,1.0000002,0.85202205,0.43811712,0.9429925,0.7938828,0.9722189,0.822043,0.9374131,0.72812456,0.2738071,0.91384876,0.7879183,0.91079557,0.75707996,0.872105,0.7159004,0.81146824,0.6134552,0.23824249,0.8711713,0.7408635,0.893961,0.77253336,0.7879679,0.64884037,0.74279517,0.61231405,0.6998313,0.5580112,0.2228363,0.82569855,0.6892711,0.8352265,0.719526,0.7503111,0.63626355,0.6465766,0.5099438,0.63335127,0.5017221,0.60328484,0.46554193,0.17080963,0.7764064,0.6370149,0.7748994,0.6364413,0.7137981,0.5796741,0.6104903,0.47480738,0.5987711,0.47229096,0.5763978,0.4319271,0.50340974,0.36241993,0.14866394,0.49856013,0.268569,0.4147835,0.24024509,0.2836561,0.12623695,0.31211683,0.05038535,0.33480674,0.09613413,0.29081,0.07146893,0.31669092,0.09441475,0.29936445,0.07701356,0.11648874,0.23685916,0.11156225,0.25134134,0.12060435,0.26514733,0.11551283,0.26720974,0.08060493,0.63858426,0.45361626,0.5970453,0.45724934,0.45328704,0.30209225,0.40486994,0.22580291,0.40291783,0.2598887,0.39728114,0.21690215,0.33582833,0.24801916,0.37847775,0.24327664,0.11621934,0.2874293,0.13931324,0.5335447,0.38682038,0.5135602,0.34826744,0.36585292,0.19945504,0.38301235,0.22029814,0.37486607,0.19388354,0.38627908,0.17763753,0.40104443,0.19169436,0.40783408,0.20421267,0.32995927,0.15358658,0.10876635,0.27514783,0.085091084,0.33586165,0.20431975,0.6002995,0.40895393,0.5835362,0.42139956,0.42113712,0.27444446,0.4106995,0.20497386,0.4204169,0.24480629,0.42360386,0.22676529,0.33397266,0.16455033,0.33869886,0.18488899,0.21604256,0.077719234,0.0957361,0.2570822,0.0933381,0.70040715,0.52568716,0.7058151,0.55183136,0.6051911,0.4566419,0.5573002,0.40084112,0.521675,0.3768727,0.46934396,0.30231786,0.42315117,0.28035808,0.33003324,0.1993474,0.17093115
43s,0.68196315,0.8121703,0.95021784,0.6721348,0.8153959,0.9312434,0.85202205,0.9999998,0.45397627,0.79782355,0.8990321,0.8219395,0.9273492,0.79428387,0.9249161,0.3087888,0.7734785,0.8914778,0.77705675,0.8712661,0.7396902,0.8692519,0.6751432,0.8134635,0.2503178,0.73923683,0.84230936,0.75371265,0.86913824,0.6699567,0.8011857,0.61017394,0.7703179,0.54995346,0.7371188,0.19895986,0.69762224,0.7959621,0.6954259,0.8074348,0.6211727,0.77192783,0.5035214,0.65007186,0.48577347,0.6423576,0.43568614,0.63305885,0.1633916,0.65950036,0.744484,0.6498051,0.7405877,0.58081824,0.692156,0.4852882,0.6088441,0.4710357,0.6209384,0.42871863,0.5400201,0.32867756,0.5061422,0.15485212,0.40045482,0.4055913,0.3599293,0.36400253,0.205372,0.23493238,0.23611836,0.1785016,0.2768892,0.21085554,0.2261245,0.15847643,0.25405067,0.18378134,0.2651337,0.16808504,0.10876028,0.19514559,0.19270213,0.20400403,0.19208726,0.21406282,0.18395184,0.22329675,0.17054005,0.49008718,0.5238708,0.47318614,0.53268987,0.30934623,0.3623932,0.27216268,0.3004299,0.2702825,0.33760455,0.23642896,0.27119347,0.1771026,0.32153976,0.2284078,0.30099192,0.1135404,0.16567545,0.24552327,0.42265698,0.4785277,0.42454603,0.45010492,0.2586101,0.2777937,0.28367063,0.3187585,0.28107256,0.28127542,0.27125537,0.2559481,0.26444885,0.26367918,0.29229525,0.28600314,0.20968238,0.21923113,0.102800645,0.1854034,0.17509447,0.24258944,0.29199064,0.49663237,0.5114727,0.49232325,0.52668613,0.31122333,0.3654856,0.3342537,0.34868413,0.33275458,0.3570762,0.30667806,0.3259689,0.23163007,0.2717605,0.24690962,0.28456438,0.14151178,0.20470755,0.098903924,0.17531614,0.17906404,0.5880866,0.6291299,0.6000651,0.65579903,0.47497928,0.54934067,0.43471152,0.50337774,0.39997628,0.48202378,0.3353658,0.38451916,0.25080684,0.32898176,0.18409635,0.30701342,0.17684418
44o,0.75201553,0.4208101,0.43022412,0.8735586,0.46559894,0.45752227,0.43811712,0.45397627,1.0,0.46011767,0.4618473,0.5070878,0.4936185,0.4925477,0.49032038,0.9248933,0.45602036,0.4567348,0.45688975,0.47138262,0.55054,0.5326547,0.4837996,0.4676877,0.7735689,0.42144096,0.44082358,0.43601516,0.46396706,0.45079258,0.4831629,0.48703438,0.47342995,0.39128196,0.37314767,0.663973,0.4356079,0.44159546,0.4251429,0.44770312,0.46452796,0.48574588,0.4373472,0.4636661,0.40896672,0.39167085,0.29922283,0.2957326,0.61092114,0.41310593,0.42758042,0.41153425,0.45332012,0.44365373,0.47415155,0.42565042,0.46911153,0.38624763,0.41045302,0.36882386,0.36948076,0.3412473,0.3412863,0.54565597,0.21143422,0.19290286,0.27406523,0.2801329,0.28956333,0.3210636,0.28652835,0.24554038,0.20432234,0.18983658,0.20703004,0.18368302,0.21172078,0.1496576,0.18620309,0.13942307,0.3144634,0.18835592,0.19762358,0.22456166,0.16798548,0.23035376,0.19550642,0.19905673,0.1348288,0.38294786,0.39101717,0.4211539,0.4457687,0.41898346,0.4370242,0.43908322,0.4485439,0.4059384,0.41001675,0.37796426,0.37027404,0.32657343,0.3322848,0.32633018,0.2710048,0.46360242,0.17845678,0.1570906,0.21726266,0.21799736,0.26630622,0.27770975,0.3152924,0.31563368,0.29886287,0.31646913,0.231595,0.24681732,0.23191807,0.19529766,0.21264961,0.18302329,0.15683402,0.15420672,0.21689367,0.17187543,0.32766294,0.15005629,0.1152668,0.15924738,0.18550819,0.34666553,0.35183603,0.39938247,0.43745992,0.38779113,0.41023278,0.4514487,0.45942605,0.38891155,0.42502752,0.34860817,0.35508823,0.31857997,0.29742986,0.24312942,0.23644261,0.16719705,0.13197675,0.38148835,0.23320405,0.17571436,0.37095314,0.36298472,0.39959693,0.4286885,0.39156356,0.45422518,0.4279066,0.45603803,0.36586878,0.39319652,0.33160147,0.3438725,0.38313755,0.34240225,0.24350922,0.26741487,0.5034231
52o,0.74746484,0.9672967,0.8398621,0.65890867,0.9642321,0.8378333,0.9429925,0.79782355,0.46011767,1.0000002,0.85348535,0.9409151,0.7934256,0.8935739,0.6786801,0.32676357,0.9609921,0.8410397,0.90046895,0.75435156,0.8568551,0.6911423,0.8349813,0.6185171,0.27624246,0.9032056,0.7842858,0.8537977,0.7380368,0.7727762,0.63299614,0.75739765,0.6142184,0.6827804,0.5210051,0.22443649,0.85892504,0.7371196,0.7865132,0.6868459,0.7234822,0.61434245,0.6933485,0.5509862,0.63330865,0.46852395,0.55085,0.37825558,0.1633852,0.821511,0.68820584,0.7314483,0.59660953,0.70423806,0.5666897,0.6376204,0.50175595,0.61184216,0.46825087,0.53828466,0.36912617,0.47785768,0.29896286,0.15062502,0.52603036,0.2943899,0.3927839,0.2160904,0.29739174,0.1346621,0.31841776,0.0638246,0.32567534,0.095939755,0.2858045,0.055037227,0.29530957,0.06500119,0.29114273,0.06332034,0.10644571,0.21736896,0.10672975,0.22793128,0.103355944,0.23711105,0.10193583,0.2533972,0.06792974,0.6929564,0.52421176,0.5934265,0.45938674,0.47778058,0.32938617,0.44876027,0.2845699,0.4267455,0.2903035,0.40260148,0.23089734,0.35569924,0.25618523,0.3843206,0.23846495,0.12408496,0.2858188,0.13720399,0.5748387,0.4460303,0.507914,0.35860172,0.37181967,0.22117208,0.38787642,0.25440246,0.3645779,0.20722494,0.38322118,0.18536639,0.3755202,0.17762525,0.4051302,0.20652856,0.3248586,0.16225183,0.10586132,0.27247542,0.085371874,0.3369925,0.21997726,0.66118217,0.48929143,0.5887328,0.43431258,0.4512118,0.31407052,0.46479875,0.27609476,0.44462064,0.27999663,0.43744823,0.2583382,0.35474342,0.1758551,0.35867056,0.19634216,0.2011999,0.061695814,0.08755146,0.2549241,0.08913344,0.75078315,0.59150517,0.68247527,0.53875613,0.60659134,0.46661332,0.5944762,0.4382326,0.5291143,0.37887305,0.4592028,0.29032737,0.4162072,0.24375576,0.31549037,0.17903315,0.18286236
