,precision,recall,f1-score,support
nothing,1.0,0.9901554822006112,0.9950533926180968,359591.0
one_pair,0.9999966833054178,0.9945112940679756,0.9972464455995224,303168.0
two_pair,1.0,0.998888238736103,0.9994438101929101,34180.0
three_of_a_kind,0.9955947136563876,0.9998679344955098,0.9977267485915725,15144.0
straight,0.3493718592964824,0.9989224137931034,0.5176842889054356,2784.0
flush,0.9979035639412998,0.9951219512195122,0.9965108164689462,1435.0
full_house,0.9990224828934506,1.0,0.9995110024449878,1022.0
four_of_a_kind,1.0,0.9939393939393939,0.9969604863221885,165.0
straight_flush,0.45454545454545453,0.8333333333333334,0.5882352941176471,12.0
royal_flush,0.0,0.0,0.0,6.0
accuracy,0.9926648799245165,0.9926648799245165,0.9926648799245165,0.9926648799245165
macro avg,0.7796434757638493,0.8804740041785543,0.8088372285261306,717507.0
weighted avg,0.9973580455960125,0.9926648799245165,0.9943879319194536,717507.0
