,precision,recall,f1-score,support
nothing,0.9997721621809033,0.9823405932756042,0.9909797272971257,308221.0
one_pair,0.9998046020133808,0.9845300125453132,0.9921085185343173,259858.0
two_pair,0.999487109348287,0.9977472096119057,0.9986164016193225,29297.0
three_of_a_kind,0.9996917148362235,0.999306625577812,0.9994991331150067,12980.0
straight,0.19477270766842059,0.9459572685379137,0.323032904148784,2387.0
flush,0.863091037402964,0.9943089430894309,0.9240649792217605,1230.0
full_house,0.9943246311010215,1.0,0.9971542401821286,876.0
four_of_a_kind,1.0,0.9929577464788732,0.9964664310954063,142.0
straight_flush,0.2222222222222222,0.4,0.2857142857142857,10.0
royal_flush,0.0,0.0,0.0,5.0
accuracy,0.9842505601571366,0.9842505601571366,0.9842505601571366,0.9842505601571366
macro avg,0.7273166186773423,0.8297148399116854,0.7507636620928136,615006.0
weighted avg,0.9963443400535623,0.9842505601571366,0.9892645004434596,615006.0
